Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
wm_1000_transformed.jpeg,1011110010101011101001000010101101001001010001001110001010110000001001011001011100101111110001111111001001001011000111110110010100001011010010010100100110110110110110110011011011001000000110001101110111110111110111101000000010000000001100110001111111100001,1011110010101011101001000010101101001001010001001110001010110000001001011001011100101111110001111111001001001011000111110110010100001011010010010100100110110110110110110011011011001000000110001101110111110111110111101000000010000000001100110001111111100001,True,True,True,True,0,0.0211660861968994,0.0076079368591308,0.0132176876068115,0.0003230571746826
wm_1001_transformed.jpeg,1110101110110110111010110010110010010100010000010001010011011001011110111011111011101011001011101000010001000101100101000100000100111101100110111110110010011010010000000111010000010011011001010011011111001001111011000001101111001000001101100101001111100100,1110101110110110111010110010110010010100010000010001010011011001011110111011111011101011001011101000010001000101100101000100000100111111100110111110110010011010010000000111010000010011011001000011011111001001111011000001101111001000001101100101001111100100,True,True,True,True,2,0.0343804359436035,0.0160920619964599,0.0177531242370605,0.000516653060913
wm_1002_transformed.jpeg,1000001001010001011011011010011100111001101011100011111001011110111011100010010101001110111110011111010011011000111010111010000100100110110111010110101100001000110101011000001100011011010011001000100000101100011111000001010110011000001100010100110110101010,1000001001010001011011011010011100111001101011100011111001011110111011100010010101001110111110011111010011011000111010111010000100100110110111010110101100001000110101011000001100011011010011001000100000101100011111000001010110011000001100010100110110101010,True,True,True,True,0,0.1040501594543457,0.0606827735900878,0.0411498546600341,0.0004386901855468
wm_1003_transformed.jpeg,1000000110011001101111000100110100111110011001100100001110111010110000011001100100101100111001000110111001100110110100110001101110110101110001000110110011100000110110110001101110010011101111000110010011100100011010111000101110011101001110010010010001100100,1000000110011001101111000100110100111110011001100100001110111010110000011001100100101100111001000110111001100110110100110001101110110101110001000110110011100000110110110001101110010011101111000110010011100100011010111000101110011101000110010010110001100100,True,True,True,True,2,0.0323257446289062,0.0151751041412353,0.016653299331665,0.0004806518554687
wm_1004_transformed.jpeg,1000000100110001010011001110011001001100110001101111001100111001101100110001100100001110110001100110111011100110111100010011100100000101010111111001111111000110110100010010000101000110100101101001000101111001111111110110100000111110100001101011000100010001,1000000100110001010011001110011001001100110001101111001100111001101100110001100100001110110001100110111011100110111100010011100100000101010111111001111111000110110100010010000101000110100101101001010101111001111111111110100000111110110001101011000101010001,True,True,True,False,4,0.0287919044494628,0.0129375457763671,0.0152983665466308,0.0005383491516113
wm_1005_transformed.jpeg,1001111011110111111000000001110111100011100010001100001111110001100110111100011100011100110001111011100011110000010001100011100010011110000000110100001000001110011000011110111110010011110001110100011111110001101111001111000001000000000011001011111000000111,1001111011110111111000000001110111100011100010001100001111110001100110111100011100011100110001111011100011110000010001100011100010011110000000110100001000001110011000011110111110010011110001110100011111110001101111001111000001000000000011001011111000000111,True,True,True,True,0,0.037365436553955,0.0182588100433349,0.0187084674835205,0.0003795623779296
wm_1006_transformed.jpeg,1011100010010101111110100101111111101001011000000100010110111010101001011100100101100111011001001010010011100011100110010100110101100110100001110110011010110101100100111100101010011000110110011101001001000100101000011010001011010011010101110011001001100010,1011100010010101111110100101111111101001011000000100010110111010101001011100100101100111011001001010010011100011100110010100110101100110100001110110011010110101100100111100101010011000110110011101001001000100101000011010001011010011010101110011001001100010,True,True,True,True,0,0.0194084644317626,0.0065305233001708,0.0125513076782226,0.0003111362457275
wm_1007_transformed.jpeg,1101000111000100110011010000000110100100111100010010101101011110011010001011010101111111110011111101010000111100100111111101001110101101001011010000000011110000011010100000111101001000101101010101010011010010100000110000110110010101001101000111111010100011,1101000111000100110011010000000110100100111100010010101101011110011010001011010101111111110011111101010000111100100111111101001110101101001011010000000011110000011010100000111101001000101101010101010011010010100000110000110110010101001101000111111010100011,True,True,True,True,0,0.0330219268798828,0.0158939361572265,0.0167427062988281,0.0003681182861328
wm_1008_transformed.jpeg,1001101100111001001011001001011001100100110101001001101101001101100110010001001110011011011010010110010011010110100110010111010110100100110111101001100100010001011101010110110001010001001101100111010101001110011001001001111010011011000010010110010011001110,1001101100111001001011001001011001100100110101001001101101001101100110010001001110011011011010010110010011010110100110010111000110100100110111101001100100010001111101010110110001010001001101100111010101001110011001001001111010011011000010010110010011001110,True,True,True,True,2,0.0385289192199707,0.0187339782714843,0.0194349288940429,0.000342845916748
wm_1009_transformed.jpeg,1101110110001000100011011000100100001100100010000110110111101011111011011000100110100101010110110010010111001011011000010101101110001011010110111001110001011010100100010101001001010111010101100111101101010110101000000100010000001110101001100110111110111100,1101110110011000100011011000100100001100100010000110110110101011111011011000100110100101010110110010010111001011011000010101101110001011010110111001110001011010100100010101001001010111010101100111101101010110101000000100010000001110101001100110111110111100,True,True,True,True,2,0.0337035655975341,0.0166661739349365,0.0166854858398437,0.0003340244293212
