Threshold,TPR
0,100
1,100
2,99.6
3,99.6
4,99
5,99
6,98.6
7,98.6
8,97.6
9,97.5
10,96.9
11,96.7
12,95.3
13,95.2
14,93.7
15,93.4
16,92
17,91.7
18,89.8
19,89.2
20,87
21,86.3
22,84.8
23,84.2
24,82.9
25,82.3
26,80.4
27,79.5
28,78.3
29,77.7
30,76.2
31,75.9
32,74.9
33,74.6
34,73.9
35,73.6
36,72.1
37,71.6
38,70.5
39,70.1
40,68.8
41,68
42,67
43,66.6
44,65.5
45,65.1
46,64.7
47,64
48,63.1
49,62.6
50,62
51,61.6
52,60.4
53,60
54,59.2
55,59.1
56,58.7
57,58.2
58,57.5
59,56.8
60,56.5
61,56.2
62,55.6
63,55.3
64,55
65,54.8
66,54.6
67,54
68,53.7
69,53.7
70,53
71,52.3
72,51.6
73,50.8
74,50.6
75,50.3
76,49.5
77,49
78,48.5
79,48.1
80,47.4
81,46.5
82,45.9
83,45.5
84,44.9
85,44.4
86,44.2
87,43.5
88,42.4
89,42.1
90,41.7
91,41.1
92,40.7
93,40.3
94,39.5
95,38.4
96,38.1
97,37
98,36.1
99,35.5
100,34.8
101,33.9
102,33
103,31.3
104,30.5
105,29.7
106,28.8
107,28
108,26.6
109,25.6
110,24.8
111,24
112,22.4
113,20.9
114,19.2
115,18.6
116,17.3
117,15.8
118,15.1
119,13.9
120,13.2
121,12
122,11.2
123,9.59999999999999
124,8.8
125,8.09999999999999
126,7.40000000000001
127,6.8
128,5.7
129,5
130,4.09999999999999
131,2.90000000000001
132,2.40000000000001
133,1.8
134,1.7
135,1.5
136,1.2
137,1
138,0.799999999999997
139,0.599999999999994
140,0.400000000000006
141,0.400000000000006
142,0.400000000000006
143,0.400000000000006
144,0.200000000000003
145,0.200000000000003
146,0.200000000000003
147,0.200000000000003
148,0.099999999999994
149,0.099999999999994
150,0.099999999999994
151,0.099999999999994
152,0.099999999999994
153,0.099999999999994
154,0.099999999999994
155,0.099999999999994
156,0.099999999999994
157,0.099999999999994
158,0.099999999999994
159,0.099999999999994
160,0.099999999999994
161,0.099999999999994
162,0.099999999999994
163,0.099999999999994
164,0.099999999999994
165,0.099999999999994
166,0.099999999999994
167,0.099999999999994
168,0.099999999999994
169,0.099999999999994
170,0.099999999999994
171,0.099999999999994
172,0.099999999999994
173,0.099999999999994
174,0.099999999999994
175,0.099999999999994
176,0.099999999999994
177,0.099999999999994
178,0.099999999999994
179,0.099999999999994
180,0.099999999999994
181,0.099999999999994
182,0.099999999999994
183,0.099999999999994
184,0.099999999999994
185,0.099999999999994
186,0.099999999999994
187,0.099999999999994
188,0.099999999999994
189,0.099999999999994
190,0.099999999999994
191,0.099999999999994
192,0.099999999999994
193,0.099999999999994
194,0.099999999999994
195,0.099999999999994
196,0.099999999999994
197,0.099999999999994
198,0.099999999999994
199,0.099999999999994
200,0.099999999999994
201,0.099999999999994
202,0.099999999999994
203,0.099999999999994
204,0.099999999999994
205,0.099999999999994
206,0.099999999999994
207,0.099999999999994
208,0.099999999999994
209,0.099999999999994
210,0.099999999999994
211,0.099999999999994
212,0.099999999999994
213,0.099999999999994
214,0.099999999999994
215,0.099999999999994
216,0.099999999999994
217,0.099999999999994
218,0.099999999999994
219,0.099999999999994
220,0.099999999999994
221,0.099999999999994
222,0.099999999999994
223,0.099999999999994
224,0.099999999999994
225,0.099999999999994
226,0.099999999999994
227,0.099999999999994
228,0.099999999999994
229,0.099999999999994
230,0.099999999999994
231,0.099999999999994
232,0.099999999999994
233,0.099999999999994
234,0.099999999999994
235,0.099999999999994
236,0.099999999999994
237,0.099999999999994
238,0.099999999999994
239,0.099999999999994
240,0.099999999999994
241,0.099999999999994
242,0.099999999999994
243,0.099999999999994
244,0.099999999999994
245,0.099999999999994
246,0.099999999999994
247,0.099999999999994
248,0.099999999999994
249,0.099999999999994
250,0.099999999999994
251,0.099999999999994
252,0.099999999999994
253,0.099999999999994
254,0.099999999999994
255,0.099999999999994
256,0.099999999999994
