Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
544.jpg,1001000101001001111001010111010111010100100101100100110101001010111001010110001100010001100111010110101001010010101101010011001001011100101100011010101001110100000100101010110001101110110100110001001101111000110110110110001010001111010100111001011111101000,1010101010000011111011101000101010101110011001011110100000101010001101100101001010010010100101100001100101100100001111111101110111010101000110000001001100000011100100101100010111100001100110101000011000010100001101110110001000001101000100101111011100010110,False,False,False,False,127,0.050359249114990234,0.022773265838623047,0.02566385269165039,0.0018968582153320312
586.jpg,1000100100000100001010001101011000111100011101000011100101111110010010000000101110000100101100110011111111001010011011111010000111011001011111110111000010111100111000000001111110001101011001010111011000000001100101101111110110011001010110000100101101010011,100000011001110001101000110100100001010010010000001110010100101110100011111111111110011010110010000111011101010111110111010010111000111000000001110110001101011001010111011000000000100101101111110110011001010110010100101000010011,False,True,True,True,97,0.036418914794921875,0.017497777938842773,0.01805734634399414,0.0008454322814941406
547.jpg,1010011110010000110110100100000111011000011010010100110110110110110000001101101101100000111110111111001100001110001000111010110001100001011101100110011110011001010010000111000100010000110111011111110000100011111110001100110000000100101100110011110111101100,10010000110011000010001000000000010000111111011100100101100010010000101011010010111010101010010010011001101100100011000111101101100010010000110001100111001100110100001000011011101001100000011100100011110010010010011000111,True,False,False,False,114,0.05207252502441406,0.026953697204589844,0.022526979446411133,0.001356363296508789
517.jpg,1101001001100001100011100001101010101011100111101111110001100111010101011011100000001010010000110110111011010011100101010000110010110100111001000111101100010011110000111001110000011100010000110011001101111110111001001100000111010111110001111010010000011000,11111011011000010000000001010100101110100001111111001101110100000010101010000100011011110110101101110101011011010000000100010001100110001001010001111011111001011000011001011011110101101010100010011010011110101000101111001,False,False,False,True,100,0.030571937561035156,0.01356196403503418,0.015620231628417969,0.0013728141784667969
578.jpg,1001011100100010000010101001100100101010110101000010110101010010101111010110101000111101011001010110110110101001111101001010010101010101011101011101010010100010100101011011010111010010101100101001101010110100100100110011001110011010110011001000011101010100,1001011100100010000110101001100100101010110101000010110101010010001111010110101000111101011001010111110110101001111111001010010111010101001101011101010010100010100101001011010111010010101100101001101011110100100100110011000110011011100011001000001101010100,True,True,True,True,12,0.03737473487854004,0.01679849624633789,0.02020573616027832,0.0003521442413330078
599.jpg,1011111111101011111010000111101010101000011110101011000100011011011110000001110111101110011000100010100101011011001000000101110000111011001000110110101010100011100001111101000010111011100011011000000001100101100111101101000010011111100000111001000010100100,1011111110001011111010000111111010101000011110101011000100000000011010000001110110101111111000101110100101001011011100000101100010011111101000110110100011101111110001000111001010111011100000011000011011100000100111101101011010001111100000111101000010000000,True,True,False,True,44,0.03581047058105469,0.01805567741394043,0.017073631286621094,0.0006620883941650391
563.jpg,1111001110010011101010000101001001001110010101100110111111010100010110001101100101011001001110100100110000101110100100100110111101011111001011000100011010101000011001011100000100001101110110010001001110010110101001011010011110100011110000110000110101101110,01010011001000110100000001000100000100110011111011000010010100001101100011011001010111010011001100011101111001101001001001101000111111100001001000011100000110000110011010101110010111100000111010111100000000111010110110001010000111010000011100010100011111110001100,False,True,False,True,102,0.03439950942993164,0.01602339744567871,0.01765727996826172,0.0007007122039794922
595.jpg,1001000100010111000011101011101101001110110010000100110001000100111100010011011011110000011110110011100101111101101011110100110011101110110110100000011011110111100010000011111101011100000010000001111100000001111101110000000001111011111000001001000011111000,1001000100010111100011101011101101001110110010000110001001010100111100110011011011110000011110110011100101101101101011000110110011101110000110110010011000110111100000000011111101111110000011100001111100000001110101111000001101111001111000001001000011110000,False,True,True,True,28,0.03267621994018555,0.015516042709350586,0.016618728637695312,0.0005233287811279297
551.jpg,1010011110111101000011011011111100101111001001100011001011000111111011001101100101010010000100001010100110000000110011001011111110100111001101110101011111000000010110001100001101000011001110011010100100001110101001101100001100001100100110010011010111011100,1010011110111101001011011011111000100111001001100011001011001111111001001101100101010010001100001011100110000000111001100011111110001111000001110101011111000000010110001110001101001001000110011010000100100111101001101110001100001100100110010011010111010110,True,True,True,True,26,0.03271913528442383,0.015842437744140625,0.016534805297851562,0.0003235340118408203
598.jpg,1100110111001101111011001101110111101101110011011000110011011100000111001011000000001100000010100101110010100110110011001000011011001110000010111000111101100001111111110100000110010011010110110100010000100001000000101001101111101010110000111010111100010011,1100110111001101111011001101110110101101110010011000110011001100000111001110000000001100000010110101110010100110110011001010011011001111000110111000111101101001111011110100000010010011010110110100010000110001000000101001101111101010110000111010110100010011,True,True,True,True,14,0.036743879318237305,0.01919841766357422,0.01710677146911621,0.00041985511779785156
522.jpg,1001010010010010100101011010010100111101101001010011011000011010001000110110101111110101111001100100100111101010101101001001101001001001101010111011010010010010011010011011101110100110101101010100000101100110001010011110101011010100110100000110110011010001,100101001001001010000100101001111111100110001101001001100101001000001111000111111111000111000010000110000011101100110101110010101011001000111000110111111000111111111000011101100111011110011100100010000110011101000100111110001001,True,True,False,True,80,0.02897500991821289,0.013243913650512695,0.014889001846313477,0.0008244514465332031
