Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
59.jpg,1001001100011100100011000110001001001110011011011110000100010110001111001010001100011110010011011000111110010000111001111011101111010010110000000011100111101100010011001011001110010011010100100110100101101101001111001001010010010111110110100100001111100101,1001001100011100100011000110001001001110011011011110000100010100001111001010001100011110110011011000111110010000111001111011101111010010110000000011100111101100010011001011001110010011010101100110100101101101001111001001010010010111110110100100001111100001,True,True,True,True,4,0.0318727493286132,0.015643835067749,0.0157506465911865,0.0004611015319824
1370.jpg,1110011011001000100110000011010010111111111110111011100010000000010011110000111101100110111110100011100011100101001100110100001010001101101111001000000000011000110001100100111101111011101101110110100001011000011100111010011100011100011000001101001000011110,1110011011001000100110000011010010111111111110111011100010000000010011110000111101100110111110100011100011100101001100110100001010001101101111001000000000011000110001100100011101111011101101110110110001011000011100111010011100011100011000001101001000011110,True,True,True,True,2,0.0327465534210205,0.0158302783966064,0.0165622234344482,0.0003361701965332
1358.jpg,1000011101101100100110011110000010000111111100001100001011111100011000111000010101100110011000110010000111001100011001010000111101110001000000110101001101111000011010011100011110101101110010111010010001111000001101001111111010110010001011111011101000101010,1000011101101100100110011110000010001111111100001100001011111100011000111000010101100110011000110010000111001100011001010000111101110001000000110101001101111000011010011100001110101101110010111010010001111000001101001111110010110010001011111011101000101011,True,True,True,True,4,0.0359787940979003,0.0179736614227294,0.0174582004547119,0.0005290508270263
1033.jpg,1000100100010000010000000110111101010010110011111100111100010000101110001101110100110100111011010100011100101101110111010010001111011000100000101111100011010110111010011100011011001101111000101100110010001010011100001000100001100110000011111111001001101111,1000100100010000010000000110111101010010110011111100111100010000101110011101110100110100111011010100011100101101110111010010001111011000100000101111100011010110111010011100011011001101111000101100110010000010011100001000100001100110000011111111001000111111,True,True,True,True,4,0.0343439579010009,0.0173866748809814,0.0166015625,0.0003378391265869
205.jpg,1010011111000010111010100101101010011001001011000110010010100110111001000001100111000001101111011100111101000001100011011000100010011001001111111100000011011100100000011111110010010111011011010010111000001011000011100111001010011110010001111001110011010101,1010011111000010111010100101101010011001001011000110010010100111111001000001100111000001101111011100111101000001100011011000100010011001001111111100000010011100100000011111110010010111011011010010111000001011000011100110001110011110010001111001110011010101,True,True,True,True,4,0.0347113609313964,0.0164973735809326,0.0178494453430175,0.0003466606140136
226.jpg,1001001110101000010100001010111011100100010011100001111100011010100101001110011010100101011000011011001100110001110111001001100000001001110001000100101110101001011010110110101001011101011101001101101001101101011000101001101000101110110101000110111010011111,1001001110101000010100001010111011100100010011100001111100011010100101001110011010100101011000011011001100110001110111001001100000001001110001000100101110101001011011110110101001011101011101001101101001101101011000101001101000101110110101000110111010011110,True,True,True,True,2,0.037693977355957,0.0177586078643798,0.0194931030273437,0.000425100326538
243.jpg,1010001001001111100111010011000001001111101000100010001001011101001011000101101001010111110000110011101000101001111000011001110000001101101101001001111001011010111100110010111111110001111100001000100011001001001001010100000010010110001111101111100010111111,1010001001001111100111010011000001001111101000100010001001011101001011000101101001010111110000110011101000101001111000011001110000001101100001001001111001011010111100110010111111110001111110001000100011001001001001010100001010010110001111101111100010111111,True,True,True,True,4,0.0383195877075195,0.0194065570831298,0.0184783935546875,0.0004167556762695
164.jpg,1101000000010001110010100001001000110111101011011010001101111001111001001100001100011101111101001000100101011110000001101101011100110110101100100001101101100010110110000110011010111101101000100111001010011001111001100101110000010110010110100011001111000111,1101000000010001110010100001001000111111101011011010001101111001111001001100001100011101111001001000100101011110000001101101011100110110101100100001101101100110110110000110011010111101101000100111001010011001111001100101110000010110010110100010001111000111,True,True,True,True,4,0.035693883895874,0.016974925994873,0.0181736946105957,0.0005240440368652
865.jpg,1111111111001000100111010110010001001000001011111010011011001101000111001101001100110011010101001101000000011111100101010110110101000011000110101100001011111111001000100010100111100101000010010110110011100110011000111100011011100100100000111111000100001011,1111111111001000100111010110010001001000001011111010011011001101000111001101001100110011010101001101000000011111100101110110110101000011000110101100001011111111001000100010100111100101000010010110110011100110011000111100011011100100100000101111000100001011,True,True,True,True,2,0.0368564128875732,0.0197005271911621,0.0168056488037109,0.0003333091735839
876.jpg,1011001100011100111100011110000010101100110010110001101100010011111011000010000110000101110001100001011001011011011110000110110010100001101101011010011100011010001110110110100001100010001111011010000110010011010111110011100111011000011010011010111011010010,1011001100011100111100011110000010101100110010110001101100010011111011000010000110000101110001100001011001011011011110000110110010100001101101011010011100011010001110110110100001100010001111011010000110010011010111110011100111011100011010011010011011010010,True,True,True,True,2,0.0338525772094726,0.0166797637939453,0.0168282985687255,0.0003275871276855
