Image Name,Computed Hash (Top Left),Computed Hash (Top Right),Computed Hash (Bottom Left),Computed Hash (Bottom Right),Extracted Hash (Top Left),Extracted Hash (Top Right),Extracted Hash (Bottom Left),Extracted Hash (Bottom Right),WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Hamming Distance (Top Left),Hamming Distance (Top Right),Hamming Distance (Bottom Left),Hamming Distance (Bottom Right),Total Hamming Distance
wm_aaron-greenwood-x9zy_1oHjqw-unsplash_transformed.jpeg,1010001111001110111001110001010110001100001100011000101001111001,1101001101011000110011011100010011100010101100010001010011011110,1000110011111111010110101100101000001110001010011000010011100101,1101010001001100101000101010010000100110110100101001111110111011,000111001101000100000010001110100010,0001010001011010001001010001011010000000111011010011101101010010,1000111001001111000001000100101010000110010101001101100111111101,0101100011101000010000100111111010110011111110111110101101101011,False,False,False,False,24,29,25,28,106
wm_abhas-mishra-BD3qGeorAFY-unsplash_transformed.jpeg,1110000111010110100111111001010001001101100010100010010001011011,1011010010001011110000101100001100011100110111110011001000011110,1110010110101101010010111011011001101010010101011011000001001000,1011000011111000000011101110001100011110111001110011110010000001,010110001101010000000111011010101010,01010000001100000001001001111010101001111111100100100011111110110111101,1100110101111110001001000010111010100010101010100001101011111101,0000001011010001000000000110111101110111111111001011101101010001,False,False,False,False,19,34,36,28,117
wm_abhay-singh-GGO53CCHM_Q-unsplash_transformed.jpeg,1100000101111110100101011100001001001011001111010110010110000110,1001100001100111100110100111100100100110100110001111100101000110,1100000111000001110010010010100111101101101101010010010100111101,1001101001100010110110001001100000100010111010000101111100111111,0000110111111010001110010111110111110001111011000011101011100010,0101010011101000000110010100011010000000111011001011001111010000,1100101110000100100110111110011111110100111011011011011110100111,1000001101000111000001000010001000100010011101001001100101011101,False,False,False,False,35,33,26,27,121
wm_abigail-keenan-27293_transformed.jpeg,1100011110111000001001000101101110110100001011001101100110000111,1111001111001100101100000000111001110001011100001000110011110011,1101000010110100010101000101110101101101010110100011101010101100,1111000110110001001100111000100000111100101111101001001110110000,00000000010000010000101001000111001000100111110011111000010111011000001,0000010011000011001010100101001000000011110111011010001101011000,000111001101101000100000001101001001001111001111101000101,0000010010000000001010000110001001110011111110011010001101011001,False,False,False,False,31,38,31,34,134
wm_adam-przewoski-193_transformed.jpeg,1011110001000011011000111011110010011100010000010110011011011001,1110100100010110000110101110100111001010000101000011011111101010,1010101011111100101111011011110010010000100101001101010000010100,1111100110011001100010011110100111101110100001110000011000000110,001011001101101000100001001010000000110111101011000010101,1000011001011111001010000000101100000010011111001111110100001101,000010001101000100100101001010100110,0010110111000010101111001011100110101100111010011010101111101001,False,False,False,False,22,32,18,34,106
wm_adam-willoughby-knox-56406_transformed.jpeg,1100110010010011010111100010000111111110000001110111000010000111,1001111111100000000011111110000000011111011000000011110111000110,1010100010000011110100111100010111001001100010111110010101110100,1011100110111001100111011001111011001010010001100110000001101000,1100101101011111000001100110111011100100111100000111100100111101,011100001100100100000010010000101011101000111010100010011,0101110001001001000100111000101011001100111110010001000011101111,0101110111001001000000110100101010100011111110011011101111101110,False,False,False,False,32,28,33,36,129
wm_adrian-moise-0iRqoHHxjQk-unsplash_transformed.jpeg,1000000101110110101011010101101011100100100110110001001001101101,1100011100001000011110000000011111110011110010001111111000110001,1000100110011001011101000010011001101110110011000110100011101011,1110011100011100000100110111001100110001001010001101110011111000,0101100111011000101010110000110011100101111111000000101111101011,011111011001100011001011110000000110,010110010100010010000110101000101010,0101100101000001001101100011111010000100111001010011101111100001,False,False,False,False,27,19,18,37,101
wm_afroz-nawaf-323_transformed.jpeg,1010101010101110100011011010000111010001001010110101000011111010,1111111011000100100110011001100100010011110000110001011001100110,1010100001101000110110001001001111010110010101010100011101110101,1111111110111111100111110000111100000111100000110000000100000000,0100100011111010000010100100001110101010111111011011101101101111,010010011011010010100001101010001110,000111011100100000100001111110100000,10000110111101110000100001011110001100100011110011111011010011011000001,False,False,False,False,36,19,20,36,111
wm_alberto-montalesi-176097_transformed.jpeg,1011000011000100100101100110101010111001001111010011111001000110,1101110010000100100111011001100011110110100110011001001010110010,1010010111110110010110011011101100010110100010010100001101001001,1111111001001110000010011011111001110000101100010101001000001110,1100110111111100000000110110101010100110110001000101101111110001,1001011001011000001100110011011011000101110111001011001111010101,0101000111000010001011100011011010110010111110111010101111111001,010010011111011000000100101010000110,False,False,False,False,34,32,32,17,115
wm_alberto-restifo-4549_transformed.jpeg,1011001001011010010001001011010000101111110100010011110111100100,1110001110000100010011101100101100010101111000101000110101010111,1010010101000100011110111011010011000000001010010101111111010011,1110001100011100100101001110101101101100100101111000100011100010,0101110011001110101001110111111011101110111010010010101111111000,000111001001001000101011001110100010,010111001100101000101011010001100010,0101000101110110001011101110111011101110111011111011001111110001,False,False,False,False,30,22,20,29,101
wm_alec-weir-22151_transformed.jpeg,1101001010101101010110100101010100101001101110100101110100010100,1000011111111000000011101111000010001111111111000000000000111110,1101001001001011010010011101100100101110001101101011010000011011,1000001110011111010100101010000000010101011111100000111001011111,0100001101011101001001100101111010100010111110001011100101001101,1100100101101100001001100101111000000110111000000001101100101101,00011100110001100110101100101110000001111101000010100010110010110001101,010101001101100000101001010100111011,False,False,True,False,29,27,32,24,112
wm_alejandro-escamilla-10_transformed.jpeg,1001010100110110011010101100010101011101101000111101110000100010,1001101101000110111011000001011101110000001111110001000000011111,1000000010010111010111101101001001011010111011000100011011101010,1111011110000111000001101000000111011000111111101110000000110001,000000000101001000000100110010111010,00010101110000010110001001000110001000101111100010101001010100001111001,0101110010111000001100110100001010101001111011010010001111110010,0000011011001001010010010100101100000010111011001111101111110101,False,False,False,False,19,33,30,32,114
