Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
65-facebook.jpg,1101101001011001100110000100010001011110000110111011100001101001100001100100101110101110000111010011011101100011011011100101000110101100000010010100100110011001101010010110001111101011000001001101001001001111100011011101100100111010111100111011010011001001,1101101001011001100110000100010001011110000110111011100001101001100001100100101110101110000111010011011101100011011011100101000110101100000010010100100110011001101010010110001111101011000001001101001001001111100011011101100100111010111100111011010011001001,True,True,True,True,0
69-facebook.jpg,1100010100001110110100000011000110001000111100010010111100001110010100001111001110111000100011001000010100111000010011101111011110111000110001101110010100111000100010101010100101110010110101111101010100101000101010101001110100011011010101101111110011101001,1100010100001110110100000011000110001000111100010010111100001110010100001111001110111000100011001000010100111000010011101111011110111000110001101110010100111000100010101010100101110010110101111101010100101000101010101001110100011011010101101111110011101001,True,True,True,True,0
wm_59-inpainting.jpg,1000010010000101100000111111001001101011111100010111000001101100011100000111010010101100001111001001111000011011010010110000011101110011111001111010010001110100100111100101100001101011100000010111100001110110101001010010111101010111010010001110110110000110,1000010010000101100000111111001001101011111100010111000000101100011100000111011010101100000111001001111000011011010010111000011101110011111000111010010001110100100111100101100001101011100000010111100001111110101001011010111001010111010000001110110111000110,True,True,True,True,10
wm_55-copy-move.jpg,1000110000000001101001100001001110000011111111100111001111001100110111001100010010001101011001010010000101111101001110110001011011011010100001100100010010011001001101010011111111111101010101101100100011010010000010101011000101110111101010011111010100001010,1100100010011001101101000101000000010010001101100111101111001110110101100100110011000101011001010010000111101111001110100111011011001010100000100100010010001001001101010111111111111101010101101100101011010000000010101010010000110110101011111111010101101011,False,True,True,True,46
67-facebook.jpg,1101111100111110001100110110011111001010000101101100110000111000011100111100001101101011011001101100100110010111001110011101111100110000000001011100111010110000100010000101101101101110001011110010001000000011100111100001100000110000111011110110001001010100,1101111100111110001100110110011111001010000101101100110000111000011100111100001101101011011001101100100110010111001110011101111100110000000001011100111010110000100010000101101101101110001011110010001000000011100111100001100000110000111011110110001001010100,True,True,True,True,0
66-facebook.jpg,1011011001101011111010011010111011000111001101110101100001100010001000011010100110010110010110001001000101001110101000101001010010101010011110101010101100100101001000010011110011001000110010111010100111010101101001010110101010000100101101111111011011001010,1011011001101011111010011010111011000111001101110101100001100010001000011010100110010110010110001001000101001110101000101001010010101010011110101010101100100101001000010011110011001000110010111010100111010101101001010110101010000100101101111111011011001010,True,True,True,True,0
wm_63-cropping.jpg,1100000111110100100001100001000100010001000010110011110011101100011010100111111110100011000101100011111011001001110111011101000000010010011101110110101101000110001111101101100101000011011001110011010000110100111011111110100000001001001010100110011011101010,11010001111101001100011110010101000101100000101100110001010010100010110011101000011010100110101110100001001101100010111010000001010100011100000101101010000101001010010101011100101010101010100000010111,True,True,False,False,90
wm_56-copy-move.jpg,1000100011011000101110001101100011000011011111101001110011100100101101001110010110000110001111111100100111100110111101111000011001100110001011000001100100100011100101001100111010000011000011010010011000110000010110010001101011101011110011000111111101001100,1000100111011001101110001101100011000011011111101001110011100100111001011110010110000110001111111000110111100110101101101000011001100110000011001001100100100111000111001100111000000111011010010010011000010000110110010001101011001011100011000111111001001100,True,True,True,True,24
71-facebook.jpg,1011110101110011111001101000111000110011011011011100110010110010110100101100111111010011001010011100001101100110110000000111000001100100100110101001000111001011110011011000110010011011011010110110110000100000001100010110111101100100000110110111100110000000,1011110101110011111001101000111000110011011011011100110010110010110100101100111111010011001010011100001101100110110000000111000001100100100110101001000111001011110001011000110010011011011010110110110000100000001100010110111101100110000110110111100110000000,True,True,True,True,2
wm_62-cropping.jpg,1101010111010101110001010111100001101100001010010111100111000111000110010000101001000010011100001001001111111100000111111111111111101000000011110001110000101000111001111100000001100000011001110000000000001110111100101111010100001111111111101001100111000010,1000000100011111100011010100011101101000111010000110001110111001001111110100000001001110100011101001011000101111001111100000011011000001110000010011110111100010111000000011110001100011100111010001111111100011110000001011111100011100010101110001001110111100,True,True,True,True,122
72-facebook.jpg,1000010110101100100010100100011111110001000010000111110001100101001111100111001100111011111110001001010111001111100110101111011100100101001100000110000010000000011100111100000000111011001111110101111100011101100101100010111101100010010100110110000110101000,1000010110101100100010100100011111110001000010000111110001100101001111100111001100111011111110001001010111001111100110101111011100100101001100000110000010000000011100111100000000111011001111110101111100011101100101001010111101100010010100110110000110101000,True,True,True,True,2
wm_57-copy-move.jpg,1000001101001101101011110111110001101010100100100100000011101010011100000010101011110001100010101110001011111101101110100100110100101010010011111110000000101101011101000011011100110101001111101101000001110110110000100101110001100011010111001110000110001100,1000001101001100101011110001010001101001101100101100000011101010001101011010101111110001100010101110001011011111001110100101110111110010011010111100010000101101010101010101001001100101101110101101000001011110110000100101110001100011000111001010000111001100,True,True,False,True,40
68-facebook.jpg,1100000110001001110110001100011011101011010101100001011111100110110110001011001110100110110100000001101100110110110101101100000100101000110001001101000101111110011001101001111100011001110000110110001100100011100001011111111010110001101011000101000001010110,1100000110001001110110001100011011101011010101100001011111100110110110001011001110100110110100000001101100110110110101101100000100101000110001001101000101111110011001101001111100011001110000110110001100100011100001011111111010110001101011000101000001010110,True,True,True,True,0
70-facebook.jpg,1111110000110011101100111000111100011010110011110110101101100000000110011001001110001101100010010100001111010101100100001111000111110111000011000001100011100011110010100011110111101101000010100001011011110010010011011010110011001110010000100001001111011000,1111110000110011101100111000111100011010110011110110101101100000000110011001001110001101100010010100001111010101100100001111000111110111000011000001100011100011110010100011110111101101000010100001011011110010010011011010110011001110010000100001001111011000,True,True,True,True,0
