Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
wm_45-cropping.jpg,1011101010010001101111101101000100100000011011100110000101101010110111010100001000111110000001101100001011101000101101111000100101111110010111011100001010110111100110011001101100001101001111000110100101110110100000010000001110111110000011000110010011101011,1011111100001000101111110110010000110000101101110101010010100101110111110010000100101101010101101100111011100100100111101111010101000001000100111100000011010001001111101010001001100010011110101101100011000101000111110000111001101001001110111100100110000001,False,False,True,True,120
tmp.jpg,1100001001001111011011001011000000111010001111011100010110010011011011010010010001011001100001100110011011011110111101100100100100111000011100011001001110010110100101110000111001100110011011001001010010010011100110010011011001100110011010010110110010110110,1100001001001111011011001011000000111010001111011100010110010011011011010010010001011001101001100110011011011010111101100100100100111000011100011001100110010110100101110000111001100110011011001001010010010011100110010011011001100110011010010110110010110110,True,True,True,True,4
54-facebook.jpg,1100100100101101110101101101100111010110110110101011110100100100101011010010010000110000110110110111001011011001011001101010010011001100010100111100100100101101000110000010011000110011110110101011011110101100111001000101001011000010000110010011111100101000,1100100100101101110101101101100111010110110110101011110100100100101011010010010000110000110110110111001011011001011001101010010011001100010100111100100100101101000110000010011000110011110110101011011110101000111001000101001011010010000110010011111100101000,True,True,True,True,2
51-facebook.jpg,1001110001110011100001110101110011100110010101011011111000010101010011011101100010011000101010111000100100111101001100010101001101110011101110011100110001100010000111001100001011110011000000010010001100111100101110011011001110010010110010110100111001001100,1001110001110011100001110101100011100110010101011011111000010101010011011101100010011000101010111000100100111101001100010101001101110011101110011100110001100010000111001100001011110011001000010010001100111100101110011011001110010010110010110100111001001100,True,True,True,True,2
wm_39-copy-move.jpg,1001000000000000000010111111111100011110101010110011110010110101011010000101010111110000010101111010000111010111010001111100101100001111100010101011110000000100111100000010110101100001101011010011011011011111111100101001100011110010000110000100101110111000,1001010000000000100010111110111100001110101010110011110110110101011010000101010111110000010101111010000111010101010001111100101100011111100010101011110000100100111100000010110101100001101011010011001011011111111101101001100011011010000100000100101110110000,True,True,True,True,14
47-facebook.jpg,1001110101100111010110110100111011010011000010001101001000101000011100001100001001010010110100101111110011010010010101001111011001010100001100100011010100110110001001110001011011001101011111011000110111010101001000110001111100010111001101001001110011000111,1001110101100111010110110100111011010011000010001101001000101000011100001100001001010010110100101111110011010010011101001111011001010100001100100011010100110110001001110001011011001101011111011000110101010101001000110001111100010111001101001001110011000111,True,True,True,True,2
46-facebook.jpg,1101001010011010010100101101001010011001011001011000011001001010001100011011101010111001101001011010001011001000101001010110101010100100101100111010111010010110101001100110011100101101001011010010100100101100101111010110111011000111100011101011100100011100,1101001010011010010100101101001010011001011001011000011001001010001100011011001010111001101001011010001011001000101001010110101010110100101100111010111010010110101001100110011100101101001011010010100100101100101111010110111011000111100011101011100100011100,True,True,True,True,2
wm_38-copy-move.jpg,1000100100100110011101101100011101011011100110110000111000111000111001111001110010100001010001110110110001100010111001001000101110011001011110010010111000110101100011101000011111011001011001101010001001011100100011001111001000001101101001111011001001001001,1000100100100110011101101100011101011011000110110000110000111000111100111001110010101001010001110010110001100011111001001000101110011001110110010000111100110101100011001000011111011001011001001001001001001100110011001101001110011101111001111011001001001111,True,True,True,False,24
wm_42-inpainting.jpg,1110100110110000010100110110110010111111100000010001100001000100110001110110100111101011010101100001000010101000010110111101000001110100000110101011100010101101110001110011000011010010110101010111100010001110001111101110000110000111010110111100011110111100,111011010011000001011010011011001111111110000001000111000100011010010101011010110110101101010100000101011010100001011011110100101001000000010010100010101100011000000111100010101110001111001110000110000111010100110100011110111101,True,True,False,True,60
49-facebook.jpg,1100100100101001110110111100100110000110010110110110101101010110000111000010110001100101001011101011000111000001100111001111010111001101001101100100011110011001101010110100010001100010110011100101110000100111110011110001001100110001100001001100110011100110,1100100100101001110110111100100110000110010110110110101101010110000111000010110001100101001011101011000111000001100111001111010111001101001101100100011110011001101010110100010001100010110011100101110000100111110011110001001100110001100001001100110011100110,True,True,True,True,0
