Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
wm_22-inpainting.jpg,1000010111000110110100000011110100010100000111000011101111000011110000011111111010001110001111110001110100011101011100011111010011101001000001111000111100101111001100001110000000110000111101110001111100110001111010010010111101000110011010000111011000010000,1001111101000110010100000111110100010110000111010011101111000011110000011111111011011110000110110001110010011001011100011100011111101101000101111100111100001011001100001001001000110000111101100101101100110001101110011110011111000010111001001101001000110000,False,False,True,False,45
35-facebook.jpg,1001000001011000111110011010000001110001011010100110010101001001001100100011100000110011010100111001100100001111111011001010111010010111011011011001001101001010110110111001110101100110101001111100100001100111011010001001100001111000110001111011011100001001,1001000001011000111110011010000001110001011010100110010101001001001100100011100000110011010100111001100100001111111011001010111010110111011011011001001101001010110110111001110101100110101001111100100001100111011010001001100001111000100001111011011100001001,True,True,True,True,2
wm_27-cropping.jpg,1100010110000001110110000100100011010000110000011000000100010110110000001111011000110111100011011101011100010011110100111010011100011010101100000111011111000011101011010010101111010100110001100001011010011111101001100111101000100000001011110111101010111111,11011111001010001001000100000110110101110111101010001010101101101001000010010100000000100111100001100000100010001000110011110111100100100101000100000111110110101000000001110111110011101010011100101111011100101101111111110010001110000010011101101001011010000010110,False,False,True,True,117
34-facebook.jpg,1011011011001110000011000000000001100011011011110111110110010001000011110111110000000100110010011011100001110011101110111110011010111100100000101100110000011011010100110111010101001101100110001000011100011100001101001010001010101011001110111010011110010011,1011011011001110000011000000000001100011011011110111110110010001000011110111110000000100110010011011100001110011101110111110011010111100100000101100110000011011010100110111010101001101100110001000011100011100001101001010001010101011001110111010011110010011,True,True,True,True,0
wm_20-copy-move.jpg,1001110010011010101011110000111000101111101011011010010010001011001100010001001001101010111100101111000100100111001001000110010001001100001111010110111101111011101111100101110111010001000100111100110001001101011100100000011001101001101000110001010010100110,10111001100011101000110110001011001011111010100110100110100010110001110000010010011000101110001011110011011001110010110001100100110000000010101101111001010000111011101001001111111100110111001010001100110010100001101110110100000011001101001111000110001010110101110,True,True,False,True,69
33-facebook.jpg,1000100111001000010100110110011000110110001100110110110100110011110010011000110010011010110001100111001001110011011001101001100001001101100110111100110110100111100110110110010010010010010010010011011010011011011001011011001101001100101001001100110111001100,1000100111001000110100110110011000110110001100110110110100110011110010011000110010011010110001100111001001110011011001101001100001001101100110111100100100100111100110110110010010010010010010010011011010011011011001011011001101101100101001001100110111001100,True,True,True,True,4
wm_25-cropping.jpg,1101111110010000111010001011101000010110110011111101001000000100100010010101110110110101111101100101001010001001001111101100011000000000011011001101010110110100101110100011111010010010100100110101100000011011101110111001111101001010000000100011100111011001,001101000011100011000010100001101110011011110001010000001001000001011001001101000111110010110011000111000010100110011110111011000100100000000110110011010101001101001011101000111111100010101000001111101101010010011000010111100000,False,False,True,True,106
32-facebook.jpg,1001101001101100000001100011010110011001110011101000010100100011011100100101001001111000101101101101101000100110111001100110110001100100100110110100101110010011101100011101101001111110011101001111100101001100000011001101110010011100000110000010111101001011,1001101001101100000001100011010110011001110011101000010100100011011100100101001001111000101101101101101000100110111001100110110001100100100110110100101110010011101100011101101001111110011101001111100101001100000011001101110010011100000110000010111101001011,True,True,True,True,0
29-facebook.jpg,1001100110100100111001100011001100101100111010001100110100011001011001100100110001100011101100110110001011100011100100100111101010011001001110001001100101101100100110011000111001101100100111100110010010010110011000110111011000110010011011110011001001101101,1001100110100100111001100011001100101100111010001100110100011001011001100100110001100011101100110110001011100011100100100111101010011001001110001001100101101100100110011000111001101100100111100110010010010110011000110111011000110010011011110011001001101101,True,True,True,True,0
31-facebook.jpg,1001100001010110000110010100001101001111001111110100011100110100100111011111000010010010000000010001011001100111101001000100011101100100001100011111011100101000010111011111011010100000011100010111110001100011000111111010010111110101111100110100011010000111,1001100001010110000110010100001101001111001111110100011100110100100111011111000010010010000000010001011001100111101001000100011101100100001100011111011100101000010111011111011010100000011100010111110001100011000111111010010111110101111100110100011010000111,True,True,True,True,0
wm_21-copy-move.jpg,1100010000000001000110001110110000010011111111110110111010011011100110001100011111010010000100101100110001001100110010000011110011000100001010001100011000101100011010001101011111001000110011100100011010111110011011000111110001101111100111110111100101100110,1100010000000001000100001100100100010011111111110110101010010111100110001110011111011001000100101100000001101101110000001011100011000100011010001100010000101100011010001100001111001001110001110101011110110110011011010111110101101111100011110111100101100111,True,False,True,True,32
28-facebook.jpg,1100111001100101110101000010001100010101110010100001001001101110000110111001110011111011000110111110001100110011000111010000101100010000011001110111001100110101011100100111011001100000111001100000011000010001101011101011100110100010110001111110001111011001,1100111001100101110101000010001100010101110000100001001001101110000110111001110011111011010110111110001100110011000111010000101100010000011001110111001100110101011100100111011001100000111001100000011000010001101011101011100110100010110001111110001111011001,True,True,True,True,2
