Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
wm_1000_transformed.png,1011100010101011101101000110101101001001010001001110001010110100001001011011011100001111010000011110001100001011000111010110010111001011010010010100010110110110110110010011011011001000000100001101111110110111110111101000000110000000001100110001111111111001,1011110010101011101001000010101101001001010001001110001010110000001001011001011100101111110001111111001001001011000111110110010111000011010010010010100110111110000110110001011111001000000110111101110111110111110111101000000010000000001100110001111111100001,True,True,False,True,32,0.0300493240356445,0.0180418491363525,0.0114831924438476,0.0005073547363281
wm_1001_transformed.png,1110101110110110111010110010111010010100010000010001010011010001011110111011111011101011001011101010000001000101100101100100000100111101100110111110110110011010010000000111010000010011011001010011011111001001101011000001101111001000001100100101001111100100,111010111011011011101011001011001001010001000001000101001101100101111011101111101110101100101110100001000100010110010100010000010011111110001010101010000001100001000011011111001001111011000001101111001000001101100101001111100100,True,True,False,True,38,0.0638666152954101,0.0471973419189453,0.0158798694610595,0.0007731914520263
wm_1002_transformed.png,1001001001000001010110010010010110111001101011100110111010011110011011001011010101101100111110001111010011011000100010110010000110010010110111011101101100101000100100111000001100101001010111001010110010111100011011001001010110011000101100000101110110101010,1000001001010001011011011010011100111001101011100011111001011110111011100010010101001110111110011111010011011000111010111010000100100110110111010110101100001000110101011000001100011011010011001000100000101100011111000001010110011000001100010100110110101010,True,True,True,True,46,0.1152286529541015,0.0953402519226074,0.0194413661956787,0.0004281997680664
wm_1003_transformed.jpeg,1000000100010001100111111111111100111110011001100110000000010000110000111001111100101100111000000111111000000110100100110001111110110001111000000110111001000111110010111001101110010000101100000010111011100110111000011100001110011001001110110010111001101100,1000000110011001101111000100110100111110011001100100001110111010110000011001100100101100111001000110111001100110110100110001101110110101110001000110100111100000110110110001011010010011111111000110010011100100011010111000101110011101000110010010110001100100,True,True,False,True,60,0.0324289798736572,0.0150117874145507,0.0167822837829589,0.0006172657012939
wm_1004_transformed.jpeg,1100000100110001010011001100011000011100110001101011001100111001101101110001100100001110110001100110101011100110111100010011100100010100100111111001110111100111111100010010000101000010010001101001100101111001111011110011000100101110100101101011000110010001,10000001001100010100110011100110010011001100011011110011001110010011000100011001100011101100101001101110111000000111000100101001000000000000101010111111001111111000110110100010010000101000110100101101001000100111001111111110110100000111110100011101011000100010001,True,False,True,False,83,0.0197858810424804,0.0066301822662353,0.0123484134674072,0.0007910728454589
wm_1005_transformed.jpeg,1001111011100111110000000001110011100011100010000110011001100011100110011000111000111110110001111011001001100100010010010011100010100110000000111101001100001110010000011111111110100111110011010101101101100001101001001111001101011001100011001011111000000110,1001111011110111111000000001110111100011100010001100001111110001100110111100011100011100110001111011100011110000010001100011100010011110000000110100001000001110011000011110111110010011110001110101011111110001100111001110110001001110000111001011110001000100,True,True,True,False,59,0.0275883674621582,0.0121080875396728,0.0149264335632324,0.0005362033843994
wm_1006_transformed.jpeg,1011111010000001111110110100000110111101001111101000010010110110101101000101111100010011010010010101111010101000010011011010000101010110100100100010110111010100011010100100111101101011010010011001011010101101011011010110010001001001011010101001011010010000,1010001101010111000100000100000100000010011010101100100010001101110100001101000110011100000111100110001101001110100110101100110001000000110001000111101000011001011000000101000101000001010111110010001111000000000010011001011001100001101,False,False,False,False,122,0.0410845279693603,0.001474380493164,0.0383551120758056,0.0012362003326416
wm_1007_transformed.jpeg,1100010110010011110110000100000010101101110011010011011011111101000000110100011101101110101100001110000111010011110111010010110010001000011101011000010111001110100001101011000100101110110100100110110100001001010110010011010011011010111000101101000101001111,1101000111000100110011000000000110100100111100100010101101011110011001100101111100100100100000110010011001111101100110000111010110000111010110100101101000000001111000001101010000011110100100010110101010011001001001111111001010000111001,False,False,True,False,114,0.0292656421661376,0.0139274597167968,0.0142214298248291,0.0010991096496582
wm_1008_transformed.png,1001101100001001011001101001011001100100101001101001001001100100100010011011001110011011010010010110010011010010100110110011110101100100111001100101100110110011011001101100111011011001100110011001101101001101011001001010011010011001001110010110010011100110,10011111111110010010010010010110011000001100010010001010010011010000100010010011110100110101111101000111000110100001001101110011100011110100100110111101001100100010001111101010110110001010001001101100111010101001110011001001001111010011011000010010110010011001110,False,False,True,True,105,0.0797390937805175,0.0617425441741943,0.0172755718231201,0.0007016658782958
wm_1009_transformed.png,1101100110011100100001000110101100001101100010000110110110101011011001001100101110011001100110000010011101101011011010010001100110001011010100101001110011011011100100010110011001011111110111000111101001010110101000000100010000001110101011000110111110110110,1101110110011000100011011000100100001100100010000110110110101011111011011000100110100101010110110010010111001011011000010101101110001011010110111001110001011010100100010101001001010111010101100111101101010110101000000100010000001110101001100110111110111100,True,True,True,True,44,0.0401854515075683,0.0261890888214111,0.0135419368743896,0.0004348754882812
wm_100_transformed.jpeg,1000000101001010000110010110101110011111001000011000011010001001011000001111111110100101011100010101100000010111000011111101011111100000001111001011101000101101010001110110000010111110001010110111001111001001111000000111101000011111101000101101010111010100,1000000111001000001110010110101010011111001000011000001010001001011000100111111010100101001100010101001000100111000011111101011111000000001111001011101001101101010011111101100110011010001011111100011111001000111100000110100000001111101000001101010111010100,True,True,True,False,34,0.0333406925201416,0.0160224437713623,0.0167560577392578,0.0005421638488769
wm_1010_transformed.jpeg,1000110110011011001000011111000010100100001100100111010000110100011011001001100101101000011101101101001101001110001010000011011110100101111001010101011100111001110010110110010111101101000011111100001001001001000110101101110101011101011000111011001010000110,10011111010010010111000001110001111001101011101010101110011010010001011101001010110100101001101000100111001100110000001100110100000010000000000111110001001101110111100101010111111100110000100111100011001010101101100000010111001000000010000001001110001001001011111,True,False,False,False,123,0.035902976989746,0.0015079975128173,0.0333397388458251,0.0010364055633544
wm_1011_transformed.png,1111001100100100011100100000011111101100110110110110110110011011110001110011100010010110001110001001011000110100101011000010010110011100011001010100101001100111011010001110001101101001110010111000110011000110100101101010011010010110000011101010110010001110,1111001100001011011100110101101110000010111101010100011110110100100000100111001000101110001110010100010000110010000110010110000001011100011001010110100011110111101001001110001111010000111000111000101011000110010110100100011000101101000011101010110010011110,True,False,True,True,85,0.0492751598358154,0.0356919765472412,0.0130665302276611,0.0004932880401611
wm_1012_transformed.jpeg,1011001010100001101111101000001011011101000011110100000101000010010000100110101110111111100100001101100100110010010010010111011001101010101001101011100010100101110111011011011101001001001100100100101100111110001101001001010011001101011101111100100100110010,1011001010100001101111101000001011011101000011110100000101000010010000100110101110111000100111001101110100110010010010010111011001110000101000101111111010001111110101111011101101011001011100000100100000111110001101101001010011011101011111111100100100110010,True,True,False,True,28,0.0287361145019531,0.0129210948944091,0.0152840614318847,0.0005133152008056
wm_1013_transformed.png,1001011000001101001100011100111101101001011110001001011010110111001111010011011011001010010011000001100111100001000111000000110110110011100011011110011010010010001111000111100011100111001001101110000011100110100110001001110000111100011000111100110011001001,1100010001100100011100011110011001011101000111110001000110000111101100011011010001001110010011000001001101100010111001000011110100100011100110010000011110000010100111001100111010100011011111100111110011100100110100111101000001100011011000111101110011001001,False,True,False,True,84,0.0308232307434082,0.0183870792388916,0.0116996765136718,0.0007188320159912
wm_1014_transformed.jpeg,1111111010010000101100110010000011101000001011111110001011111011011000101100101000101001111100001000011111100001011000111101011101101110100000001001010101001101011000010001011110010111010001100100100101011111011101110001101001110010010011011000110100010010,0011000000001001100110010001101111000111000001100010111110101110111001010010111010101000011000001101100110110111110000001011111001010001000001000000100110100010000111110000110101101000001000100,False,False,False,False,102,0.0147957801818847,0.0027761459350585,0.0103955268859863,0.0016078948974609
wm_1015_transformed.png,1000000000110011100000001110010001011000110010000001001001010010111000110010001111101101111011000001100111001100001101110001001110110110010100100100110011001100000110001101111111101011001100111101100011011111010011011110111010011011011110011001001100110110,1000000001110011100000101100000001011001110011000001001101010011111000110010001111101100110010000001100111001100001001010001001110111011000001101101110011001101001111001101111111101011001100111101100001000111010111011110111010001111011110011010000100100110,True,True,True,True,34,0.0565757751464843,0.0412838459014892,0.0147325992584228,0.0005412101745605
wm_1016_transformed.png,1010011001011011001101111011000010111100000001101011111010000100111110001100111010110000010010010111001000001010110100100110000101100000010110110001000101100101011000100111111110010101001111001010101101110101110111111011101010001001011111011101100010000000,1000100111011010101101111011010010111100000001101011011000000000011100001001101100110000010110010111001000001110110100100110010001000000010110110001000101100101111000100111111110010101001111001010101101110101110101111011101010101001011111011101111010010000,True,True,True,True,30,0.042661428451538,0.0296301841735839,0.0125536918640136,0.0004603862762451
wm_1017_transformed.jpeg,1001010101011011111010101010010011001001011010010011011111010010100110101010010010011101010110110010010010010110110110110110100100111001100100101100110010100100001101110101101111100001101101010001100010011010111000000101101100011110001001001111000100011010,1000011000001100110100010101000011011111001010000101110111110101110001110111001011011111000010000010100001110011010101000101000000101100001110110010100100100111100010011001011001101010011111100100000110111000101100,False,False,False,False,106,0.0203132629394531,0.0065064430236816,0.0123460292816162,0.0014455318450927
wm_1018_transformed.jpeg,1000010010000011000011001100101001010011101110010011111000010111001110011100111011010011001110010110011000100111000110011100010001001110001110111100001011010110011001101110100111001101100100110001001001011110011011001110110001010011100100010000111100111011,1010000010000011000000001100111001010011001101010010111000111111001110011100111011010011001110000110011100110011000110001110000101101110001111111101001011001110010001101110100111001101101100110001001001011110001110011100110011010011100111010100111100111011,False,True,True,True,35,0.0277154445648193,0.0113656520843505,0.0158064365386962,0.000525951385498
wm_1019_transformed.jpeg,1000110001110000100000110010100011000011000110001111000110100010101110001000011000111100001001000110111000011101010011100110010100110010110000110111001111100111110010100111100111110001110111101110000111011100110011010011111100110100111000100011011100100011,1000110001110000100000010111000011000011000110001111000111100010101110010000111110010100100110010001001000100100010001010011100100110010110001110111001011110111110010100111000111100001110111101110000111011000110011010011101101110000111000100011011010100011,True,False,True,True,45,0.0336568355560302,0.0164482593536376,0.0166480541229248,0.0005426406860351
wm_101_transformed.jpeg,1100100011010101101010110101011000100101101001010001001000101101001111001101011100110001011001010011011101011000000101010010001000111011101010000001010111010010111100110010010110001011001111010111000010101001001110011010101111110001010110000001111110111110,1100000011010101101010110101011000100101101001010001001000101101001111011011011000110001011001010011111100011000000100110010011000111111100010100001010110010010111100110100100110001111001101110111000110101001001111111011101111110001000011100001111110101001,True,True,True,False,33,0.0193512439727783,0.0063512325286865,0.0124800205230712,0.0005035400390625
wm_1020_transformed.jpeg,1001101011111010101110110101100101000001000000000100111001111000011001011101111101111011100101101011001001101100110111010001000100111001000101101100110011011010110001100010011100101101100001011001001110010010100101000110001001100010101001100011000111011111,1001101011111010101110110111100101000001000000010100111001011000011001011101111100110011100011101011101001100100110111010001000110110001001101101100110011011110110011100110010100101101100001111001000110011000101101001110110001101010001000100011000111001111,True,True,True,False,29,0.0192341804504394,0.006838321685791,0.0118660926818847,0.0005135536193847
wm_1021_transformed.jpeg,1100011001010011111101111111010110100100000000011010000000101101101000000101101100100011111110100010011111010000000010110000001100100110100011110110110110010010011001100001111001000101100111110010010001111110001001000101101000101101111111101001101111111100,1100000001010001111111111111010110100100000100111010000000111101101000000101100110000011111110110001011111100000000011110010001000100110100101110110110110010010011001100001111001100101100111110010011001111111001000000111101000100111111111100010101111111100,True,False,True,True,30,0.020059585571289,0.0068888664245605,0.0125644207000732,0.0005896091461181
wm_1022_transformed.png,1001100111110111001000110000100010011011001001111001010010001111001100110110000011101101110010111000010110011011100010111010000101000001010010111010101111011010111101100011010010101111101010101000000011001100010000101110101000011110011001011011111101000010,1001100111111111001000110000100010111101001001011001010001001111001101100110000011111110101010111001010110001011100010111010000001000000100001111011011110111010111101110111000001101010101010100000000011101001010100101110101000000100011011011000101101010000,True,False,True,False,48,0.0361249446868896,0.0235722064971923,0.0116927623748779,0.0008435249328613
wm_1023_transformed.png,1110000000010001100010001001110100001111011011100111011001000100000101101111010001011001001010110000110110101011100110101101011011100010010101010011110101011101110101010001010011100100101010101110100001101100111000111000101011010110110010101110010101011010,1111000100001110100001000000011100001111111100010111101110010001000001110111110010111010001010101100100010110001001010100110101011000000110011100110011001011011000111100100110000001001001011010101110000111100001110010000100010000011000000100000101111101010,True,False,True,False,113,0.0349853038787841,0.0221838951110839,0.0118775367736816,0.0009050369262695
wm_1024_transformed.jpeg,1100001011001111011011101010001000101101101100000101000111010000001111000000001111010100000111110000101111111110110010010110010011010011001011001000010110001111111100110110111100100010011101101111010100000100000010101101110011101100010110110100100010011011,110000101100011001101110111000100011110111111000010100011101010000111100000000111101010000011111000010111011110011000001111001001101001101101100100001011000111111110011011001100010001001111110111101010100010000010111110111001101,True,True,True,False,22,0.0281500816345214,0.011855125427246,0.0154104232788085,0.0008680820465087
wm_1025_transformed.jpeg,1011001100110011101100011011000010110000011100001111100001110011111110000000100011111101000010100111110110011001100111111000011100011111100110011011011101100110000001111110001110100111111000100100000111111001100000001111110001000000110110010000000000011110,1011000110010011101100011001000111111000111000111111100110001011011011110011110001011111100101101001111111011110100001111110011000000111111011000110000011100110110000001001100000011000000110001101100000001100101111110000010011110110000001100110111111000000,True,False,True,True,128,0.0260736942291259,0.0105047225952148,0.0147078037261962,0.0008432865142822
wm_1026_transformed.png,1101010010101111100101010010100100011111101000001111010000101111111000010010111111010100111100100001111001001010011000000001110010000011010110111001000011110010101101101010011001100001111010110110000011001100000111100101100100111100101100111100001100100111,1101010010101001100101010010100111010001101010101011010000101010101101010110001111010100111100101110100111001110011110100001100000001111011100111100000011110110011101001010010001100001011010110010110011001000000010101101100110110100100100111100110100110011,True,True,False,True,59,0.0284657478332519,0.0168850421905517,0.0110561847686767,0.0005073547363281
wm_1027_transformed.jpeg,1011001110011011101100011001110001001110000000000100111001100010000010000111111111000111000000110011100111001110111001000011000100110011110011110001111100001101100001100011100000111001111111000100111001110001010101111000111110100100001111001110100110100110,101000000110011010101011001100100111100000000010010010001110100000011011100111111000011101001100111100100111000011110011001100111010000000001110011000000101000010110010000000100001000111111001100011001000110110101001000010001111010010010011100110010,False,True,False,False,118,0.0279567241668701,0.0113086700439453,0.0155987739562988,0.0010313987731933
