Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
255.jpg,1011100001011001111011000110011101011011101100110111011110011000100001010000111010010111001101110010110111011000000110110000010011111111001001110000110010010000111100010110000100011100111001000001111001011011101001000101000100011111111010010000110011000110,1001100010011001110111100000110101011111101000000011010111000000000011000000011010011101001101110010110111011000000110110000010011111111101001110000111010010000110100110010110100011110101001000000111001011011101001000111000100011111111010010000111001000110,False,True,True,True,38,0.03651738166809082,0.018555402755737305,0.017239809036254883,0.0007038116455078125
259.jpg,1010111100110001111100001110111001001100010011100100111110110101001101101011101010110100010001011101000111110001000011001000101010101110010101010111000011101001000000111100001010101001101101111101011000001111000001000101000011101010111101000011110100001011,101101111011000111110000010011100100111001000110010011011011100100110010100100111111011001001110110100011110000100001100100111001110111000011110011100001111100100000011110001011001100100110010111011100000111101001100100100001110,True,True,True,False,44,0.035123586654663086,0.017125606536865234,0.017200469970703125,0.0007793903350830078
208.jpg,1011100100011010110010011101001010000110101101101001000010101101011000110000110110011100111111010101100011110000010000110111001001001100001100100011110100011000000111010010101110110101101011111011000011101101101000100100111011100010110101100110111010010010,0111011111000100110010101111010011111110101101000110010101001110101001010110001100101011010110000110110100011011010001101001100111000101100100011000011110100001101010000100010000010101000011001101001000000011001100110101110000011101001,False,False,False,False,128,0.02674579620361328,0.01044011116027832,0.014980077743530273,0.0013077259063720703
264.jpg,1001111010110001010100101010110110010101010110100100110010001101010101001100011010100101010100100101100011100111111000010011101100111001000100011101111011011000001001110100111101100110011001011110000010001100001011010110011011010010001001110011001100111101,1100000111100010100011010111101001100001111100100001100101110001100101001000010000111100011100111101000011001010011101001100011110100010000010101101010111101001100000011110111101111111111110111111111101100101111011110101010100111011011110110000101010000001101111011001001110011,False,False,False,False,131,0.04559493064880371,0.023833513259887695,0.020687580108642578,0.0010542869567871094
229.jpg,1101101001110001101011000111010001010001000000010111001100000001001011101011110011010011111110110010110100011110001010000100100011011010011111010010101010100101011001101000011011011011000000111010110011100101011001111101110011001001010010111000111101001001,1001001100110000101101010011010011011100010010010100101011000001001011101011110011110011111110100010110100001110001010000100100111010011011110010010101010110001011011001000011111011010000000110011010011110101011001111001110011001001110010111000111101001001,True,True,True,True,40,0.0350494384765625,0.017475128173828125,0.01712942123413086,0.0004253387451171875
253.jpg,1111110001101111010010110110001000000011011000110011110010111011111100011000110000000111010010010101110101100101101100101001110010111001101110000001010111000111010010110000111010011010001101001100111000111100001110011110001000001111000110110011010010100100,1011110001101011010110110110010100000011011000111011110010111011111100011100110001000110000011010100100001100100101101001001110011111001100110000001000111000111010010110001111010111010001100001110011110111100011100011010001001001111100110110010100011000111,True,True,True,False,40,0.03364205360412598,0.015270233154296875,0.01768660545349121,0.0006649494171142578
227.jpg,1001010101110110010110000011011001101100110101000010011001101000110110110101010111010001000011001010000000110010100010010111001101111011111011001001001110000000010110000110101100010001110101100110010011010111111011011001011110100110111001011110001110110001,0110101100010011011101000111111110110001001110001101001110100101111011000110001110010111001010000011001101100111010110010011101001011010110000100101111110011001100001111100110101111001001111110000010100010110101011110101101110101001101,False,False,False,False,116,0.061258792877197266,0.03370809555053711,0.02486443519592285,0.0015437602996826172
225.jpg,1011100110100011011100111001001111001110001110000100011000111000101110001110010001011100110011101100110111001100011100110001100000110011001100010110001100110011110011000011001111001100111000110011100011000110011100111000111010100011001110000011011100111000,10111100101011000110101001100111110001110110100000111101011000001101110010100111000110100001110010001100111000000111100110000001100111110011011111010100100110001000000011101011000111111101011110100001001100100011000101111110011001110001010011100111101101000100100,False,False,False,True,110,0.032156944274902344,0.013752937316894531,0.017300128936767578,0.001085042953491211
246.jpg,1110010001100111110001110011110100111000110101001100011011000110001111000001100011110000110001101100000111000111110000110100110000001111100011001101111111101001110001111000100011110001110011000001100110001001111000000011100011100000100111111111110000110010,111001100110011111010011001110000010001111000001100011110000110000101110000111100110110000110100110000001111100011101100110011101101110001011000101011110001110011000011111110001101111000100011100011000011100010110001111100110010,False,True,True,True,98,0.03523898124694824,0.016175031661987305,0.018260717391967773,0.0007860660552978516
206.jpg,1010100011011110001101100101100001011011001100110000110001011001000001111110011110010000000100101001000011101100111011101000001001101100000011000111110010110010011111110100000011011111000011001101011111111100000000101101001100100101111010111111000101110101,111000110000100000101000100001111010101000100010000010101010000011100101110111010110001010000110010000111000111110000010110101001101010100110100000011010111000010110001011011110011010000101000000000010100011100001010001111100101001010100110011011000,False,False,False,False,134,0.028072118759155273,0.012412786483764648,0.014441967010498047,0.0011997222900390625
