Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
59.jpg,1001001100011100100011000110001001001110011011011110000100010110001111001010001100011110010011011000111110010000111001111011101111010010110000000011100111101100010011001011001110010011010100100110100101101101001111001001010010010111110110100100001111100101,1001001100011100100011000110001001001110011011011110000100010100001111001010001100011110110011011000111110010000111001111011101111010010110000000011100111101100010011001011001110010011010101100110100101101101001111001001010010010111110110100100001111100001,True,True,True,True,4,0.0318727493286132,0.015643835067749,0.0157506465911865,0.0004611015319824
61.jpg,1101010001110100111101010011010000111101010011010010110101010101110010100001011100000010100101010110100010100001100010100010101101110010110010101100101010110010001111101011110001100010110111100001110010100011011000101001000011011101001111000111001011110111,1101010001110100111101010011010000111101010011110010110101010101110010100001011100000010100101010110000010101001100010100010101101110010110010101100101010110010001111101011110001100010110111000001110010110011011000101001100011001101001101100111001011101101,True,True,True,True,12,0.0347845554351806,0.0176575183868408,0.0167794227600097,0.0003278255462646
60.jpg,1011111101001000101111110110010000100000101101110101010010110101110111110000000000111011010111101110101011101100000111111000111001000001000100111101000011010001001111101010000001100010011110101101100011000101100101110000111001101001001110111100100110000001,1011111101001000101111110110010000100000101101110101010010110101110111110000000100101011010111101110101011101100000111101000111101000001000100111100000011010001001111101010001001100010011110101101100011000101000111110000111001101001001110111100100110000001,True,True,True,True,8,0.0362129211425781,0.0188090801239013,0.0168495178222656,0.0005359649658203
1370.jpg,1110011011001000100110000011010010111111111110111011100010000000010011110000111101100110111110100011100011100101001100110100001010001101101111001000000000011000110001100100111101111011101101110110100001011000011100111010011100011100011000001101001000011110,1110011011001000100110000011010010111111111110111011100010000000010011110000111101100110111110100011100011100101001100110100001010001101101111001000000000011000110001100100011101111011101101110110110001011000011100111010011100011100011000001101001000011110,True,True,True,True,2,0.0327465534210205,0.0158302783966064,0.0165622234344482,0.0003361701965332
1357.jpg,1010111010110101110010111000110010010010010011100110010011111011010110001110010000010011101001010100110100011001110111110101111000110100001010000110000100101110000100110101011100000100110001000011101101100111110000110101101011111101111000001000110000101111,1010111010110101110010111001110110010010010011100110010011111011010110001110010000010011101001010100110110011001110111110101111000110100001010000110000100101110000100100101011100000100110001000011101101100111110000110001100011111101111100001000110000101011,True,True,True,True,8,0.0385389328002929,0.0200686454772949,0.0180706977844238,0.0003809928894042
1306.jpg,1001111011111110000111001110111001110000011011010001001111111111000101111001000010010100001001001011010100100110111011010010001011101100001010110110101001101111001100100110110000000010010010101011001011011000101101101000000001111100000101100010011111010011,1001111011111110000111001110111001110000111011010001001111111111000101111001000010010100001001001011010100100110111011010010001011101100001010110110101001101111001000110110110000000010010010101011001011011000101101101000000001111101001100110010111011010010,True,True,True,False,10,0.0345864295959472,0.017237901687622,0.0167975425720214,0.000533103942871
1382.jpg,1110101001010010101000011010011111011111000000111101010010111100110111111000100101001100001111101000110011000000011000000111100001011001001010001111001000110011110101111001101010110011101100110111111110000111001100110001010100001001010011110111100000100000,1110101001010010101000011010011111011111000000111101000010111100110111111000100101001100001111101000110011000000011000000111100001011101001010000111001000110011110101111001101010110011101100110111101110000110001100110001010110101101010011110111100000100000,True,True,True,True,8,0.0365619659423828,0.0181849002838134,0.017939805984497,0.0004191398620605
1358.jpg,1000011101101100100110011110000010000111111100001100001011111100011000111000010101100110011000110010000111001100011001010000111101110001000000110101001101111000011010011100011110101101110010111010010001111000001101001111111010110010001011111011101000101010,1000011101101100100110011110000010001111111100001100001011111100011000111000010101100110011000110010000111001100011001010000111101110001000000110101001101111000011010011100001110101101110010111010010001111000001101001111110010110010001011111011101000101011,True,True,True,True,4,0.0359787940979003,0.0179736614227294,0.0174582004547119,0.0005290508270263
1353.jpg,1001100010010011111111001001001110000101100000100100010110010011101001011011011011011010001101110100111110100110011001010010010001100111101100010010101111111111110010001110101100110000010011101001110000000001111000010000011101001110001100010110011111100110,1001100010010011111111001001001110000101100000100100010110010011101001001011011011011010001101110100111110100111011001010010010001100111101100010010101111111111110010001110101100110000110011101001110000000101111100001000011101000110001000010110011011010110,True,True,True,False,12,0.0357222557067871,0.0175468921661376,0.017604112625122,0.0005528926849365
1367.jpg,1000011111101000100000010111111001110000111110110111111111000001100111111001111010011000000010111110000001000011110010000011111010011000101110001111000010100001000011110001111001110100000000011110000011100001001111111011111101110011111100000000110111000000,1000011111101100100000010111111001110000111110110111111111000011100111111001111010011000000010111110000001000011110010000011111010011001101110011101000000100001000011110001111001110000000000011110010011100001001111111011110101110011110100000000110011000000,True,True,False,True,11,0.0450551509857177,0.0251502990722656,0.0191431045532226,0.0007412433624267
