Hamming Distance,Number of Images
0,2
1,1
2,4
3,7
4,4
5,9
6,8
7,12
8,15
9,8
10,14
11,11
12,12
13,10
14,8
15,20
16,17
17,17
18,16
19,21
20,12
21,27
22,28
23,22
24,21
25,17
26,24
27,34
28,23
29,30
30,20
31,28
32,16
33,21
34,26
35,22
36,27
37,17
38,21
39,11
40,24
41,20
42,13
43,13
44,9
45,12
46,6
47,7
48,10
49,9
50,13
51,7
52,6
53,6
54,8
55,6
56,7
57,5
58,3
59,2
60,5
61,5
62,4
63,5
64,1
65,2
66,4
67,2
68,1
69,2
70,2
71,0
72,3
73,0
74,2
75,2
76,0
77,0
78,0
79,1
80,3
81,0
82,2
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
