Hamming Distance,Number of Images
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,2
35,0
36,1
37,2
38,3
39,1
40,0
41,1
42,0
43,2
44,1
45,3
46,2
47,3
48,2
49,3
50,3
51,5
52,2
53,2
54,4
55,4
56,3
57,9
58,6
59,8
60,4
61,8
62,5
63,3
64,5
65,4
66,6
67,11
68,4
69,7
70,7
71,5
72,9
73,7
74,7
75,6
76,13
77,10
78,6
79,6
80,12
81,10
82,15
83,10
84,6
85,14
86,13
87,9
88,15
89,16
90,12
91,12
92,14
93,10
94,17
95,11
96,11
97,8
98,16
99,15
100,13
101,16
102,9
103,21
104,11
105,19
106,11
107,18
108,15
109,16
110,16
111,12
112,13
113,8
114,23
115,14
116,10
117,15
118,18
119,9
120,12
121,14
122,9
123,11
124,12
125,10
126,7
127,12
128,8
129,8
130,3
131,8
132,3
133,3
134,3
135,6
136,3
137,1
138,3
139,4
140,4
141,1
142,1
143,1
144,2
145,1
146,2
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
