Hamming Distance,Number of Images
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,2
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,2
44,1
45,2
46,1
47,2
48,1
49,0
50,1
51,3
52,5
53,0
54,4
55,2
56,3
57,4
58,3
59,3
60,4
61,2
62,1
63,1
64,5
65,2
66,3
67,4
68,6
69,5
70,8
71,5
72,8
73,7
74,6
75,7
76,2
77,4
78,6
79,4
80,11
81,3
82,6
83,4
84,10
85,14
86,9
87,7
88,5
89,11
90,8
91,6
92,5
93,11
94,13
95,11
96,15
97,18
98,10
99,10
100,7
101,8
102,11
103,6
104,12
105,18
106,9
107,11
108,17
109,15
110,19
111,14
112,10
113,10
114,10
115,15
116,10
117,8
118,12
119,16
120,6
121,15
122,14
123,13
124,12
125,9
126,9
127,6
128,8
129,11
130,7
131,12
132,8
133,12
134,12
135,3
136,6
137,14
138,5
139,5
140,5
141,10
142,6
143,2
144,7
145,7
146,3
147,5
148,8
149,6
150,8
151,4
152,3
153,4
154,1
155,8
156,3
157,0
158,3
159,4
160,3
161,3
162,3
163,3
164,2
165,3
166,4
167,5
168,1
169,2
170,2
171,3
172,0
173,4
174,2
175,1
176,2
177,1
178,1
179,2
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,2
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
