Hamming Distance,Number of Images
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,3
67,0
68,1
69,3
70,0
71,3
72,0
73,1
74,1
75,1
76,3
77,4
78,1
79,6
80,3
81,4
82,1
83,3
84,5
85,5
86,9
87,16
88,7
89,5
90,10
91,10
92,9
93,6
94,13
95,7
96,12
97,20
98,10
99,12
100,18
101,15
102,24
103,21
104,25
105,19
106,27
107,19
108,26
109,28
110,29
111,28
112,25
113,27
114,29
115,33
116,27
117,26
118,16
119,20
120,30
121,18
122,24
123,18
124,23
125,16
126,8
127,15
128,7
129,9
130,9
131,6
132,4
133,2
134,3
135,1
136,7
137,4
138,3
139,1
140,2
141,3
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
