Hamming Distance,Number of Images
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,3
47,0
48,1
49,1
50,3
51,2
52,1
53,1
54,2
55,7
56,4
57,2
58,8
59,6
60,7
61,3
62,9
63,8
64,12
65,11
66,14
67,10
68,14
69,8
70,21
71,20
72,26
73,30
74,33
75,36
76,19
77,33
78,32
79,46
80,27
81,31
82,33
83,38
84,24
85,32
86,28
87,31
88,28
89,32
90,15
91,24
92,20
93,12
94,13
95,13
96,11
97,11
98,7
99,6
100,5
101,6
102,1
103,5
104,2
105,0
106,3
107,3
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
