Threshold,average_hash_Cropping_param_0.7_CDF,phash_Cropout_param_0.2_CDF,dhash_Cropping_param_0.7_CDF,phash_Copy-Move_param_0.1_CDF,phash_Cropping_param_0.7_CDF,dhash_Cropout_param_0.2_CDF,whash_Cropout_param_0.3_CDF,phash_Cropout_param_0.3_CDF,dhash_Copy-Move_param_0.1_CDF,phash_Inpainting_param_0.2_CDF,average_hash_Cropout_param_0.3_CDF,dhash_Cropping_param_0.9_CDF,dhash_Inpainting_param_0.1_CDF,phash_Inpainting_param_0.1_CDF,average_hash_Copy-Move_param_0.1_CDF,average_hash_Cropout_param_0.2_CDF,dhash_Inpainting_param_0.2_CDF,average_hash_Cropping_param_0.9_CDF,phash_Cropping_param_0.9_CDF,whash_Cropping_param_0.7_CDF,average_hash_Inpainting_param_0.2_CDF,dhash_Copy-Move_param_0.2_CDF,dhash_Cropout_param_0.3_CDF,average_hash_Copy-Move_param_0.2_CDF,whash_Inpainting_param_0.2_CDF,whash_Cropping_param_0.9_CDF,whash_Inpainting_param_0.1_CDF,whash_Cropout_param_0.2_CDF,average_hash_Inpainting_param_0.1_CDF,phash_Copy-Move_param_0.2_CDF,whash_Copy-Move_param_0.1_CDF,whash_Copy-Move_param_0.2_CDF
0,0.0,0.0,0.0,0.01,0.0,0.0011111111111111,0.0211111111111111,0.0,0.0333333333333333,0.0,0.0022222222222222,0.0,0.0,0.0,0.1588888888888888,0.0133333333333333,0.0,0.0,0.0,0.0,0.0,0.0011111111111111,0.0,0.0377777777777777,0.0,0.0,0.0,0.0944444444444444,0.0,0.0011111111111111,0.24,0.0633333333333333
1,0.0,0.0,0.0,0.01,0.0,0.0022222222222222,0.0211111111111111,0.0,0.1188888888888888,0.0,0.0033333333333333,0.0,0.0,0.0,0.3155555555555555,0.0311111111111111,0.0,0.0,0.0,0.0,0.0,0.0088888888888888,0.0,0.0655555555555555,0.0,0.0,0.0,0.0944444444444444,0.0,0.0011111111111111,0.24,0.0633333333333333
2,0.0,0.0,0.0,0.0355555555555555,0.0,0.0077777777777777,0.0333333333333333,0.0,0.2411111111111111,0.0,0.0077777777777777,0.0,0.0,0.0,0.4622222222222222,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.03,0.0011111111111111,0.1277777777777777,0.0,0.0,0.0,0.1466666666666666,0.0,0.0033333333333333,0.4922222222222222,0.1533333333333333
3,0.0,0.0,0.0,0.0355555555555555,0.0,0.0266666666666666,0.0333333333333333,0.0,0.4277777777777777,0.0,0.0155555555555555,0.0,0.0,0.0,0.5855555555555556,0.0877777777777777,0.0,0.0,0.0,0.0,0.0,0.0622222222222222,0.0022222222222222,0.1811111111111111,0.0,0.0,0.0,0.1466666666666666,0.0,0.0033333333333333,0.4922222222222222,0.1533333333333333
4,0.0,0.0011111111111111,0.0,0.08,0.0,0.05,0.0566666666666666,0.0011111111111111,0.5866666666666667,0.0,0.02,0.0,0.0,0.0,0.6977777777777778,0.1177777777777777,0.0,0.0,0.0,0.0,0.0,0.1177777777777777,0.0022222222222222,0.2611111111111111,0.0,0.0,0.0,0.2022222222222222,0.0,0.01,0.71,0.2933333333333333
5,0.0,0.0011111111111111,0.0,0.08,0.0,0.0922222222222222,0.0566666666666666,0.0011111111111111,0.6988888888888889,0.0,0.03,0.0,0.0,0.0,0.7922222222222223,0.1466666666666666,0.0,0.0,0.0,0.0,0.0,0.1855555555555555,0.0033333333333333,0.3477777777777778,0.0,0.0,0.0,0.2022222222222222,0.0,0.01,0.71,0.2933333333333333
6,0.0,0.0066666666666666,0.0,0.1255555555555555,0.0,0.1655555555555555,0.0888888888888888,0.0011111111111111,0.7877777777777778,0.0,0.0388888888888888,0.0,0.0,0.0,0.8555555555555555,0.1677777777777777,0.0,0.0,0.0,0.0,0.0,0.2844444444444444,0.0044444444444444,0.4166666666666667,0.0,0.0,0.0,0.2577777777777778,0.0,0.0166666666666666,0.8344444444444444,0.4533333333333333
7,0.0,0.0066666666666666,0.0,0.1255555555555555,0.0,0.2533333333333333,0.0888888888888888,0.0011111111111111,0.8511111111111112,0.0,0.0522222222222222,0.0,0.0,0.0,0.9,0.1955555555555555,0.0,0.0,0.0,0.0,0.0,0.3933333333333333,0.0077777777777777,0.5055555555555555,0.0,0.0,0.0,0.2577777777777778,0.0,0.0166666666666666,0.8355555555555556,0.4533333333333333
8,0.0,0.01,0.0,0.1822222222222222,0.0,0.3466666666666667,0.1122222222222222,0.0011111111111111,0.9077777777777778,0.0,0.0688888888888888,0.0,0.0,0.0,0.9355555555555556,0.2322222222222222,0.0,0.0,0.0,0.0,0.0,0.5044444444444445,0.02,0.5944444444444444,0.0,0.0,0.0,0.3244444444444444,0.0,0.0233333333333333,0.9288888888888888,0.5722222222222222
9,0.0,0.01,0.0,0.1822222222222222,0.0,0.4488888888888889,0.1122222222222222,0.0011111111111111,0.95,0.0,0.0777777777777777,0.0,0.0,0.0,0.9555555555555556,0.2811111111111111,0.0,0.0,0.0,0.0,0.0,0.6066666666666667,0.0288888888888888,0.6644444444444444,0.0,0.0,0.0,0.3244444444444444,0.0,0.0233333333333333,0.9288888888888888,0.5722222222222222
10,0.0,0.0166666666666666,0.0,0.2722222222222222,0.0,0.5511111111111111,0.1477777777777777,0.0011111111111111,0.9677777777777776,0.0,0.0933333333333333,0.0,0.0,0.0,0.9788888888888888,0.3266666666666666,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,0.0466666666666666,0.73,0.0,0.0011111111111111,0.0,0.3777777777777777,0.0,0.0544444444444444,0.97,0.71
