Threshold,average_hash_Cropout_param_0.3_Normal_CDF,whash_Cropping_param_0.7_Normal_CDF,phash_Cropout_param_0.2_Normal_CDF,dhash_Cropout_param_0.3_Normal_CDF,whash_Inpainting_param_0.2_Normal_CDF,average_hash_Copy-Move_param_0.2_Normal_CDF,whash_Copy-Move_param_0.1_Normal_CDF,dhash_Cropping_param_0.9_Normal_CDF,whash_Cropping_param_0.9_Normal_CDF,phash_Copy-Move_param_0.2_Normal_CDF,average_hash_Cropping_param_0.7_Normal_CDF,phash_Copy-Move_param_0.1_Normal_CDF,dhash_Cropping_param_0.7_Normal_CDF,phash_Cropping_param_0.7_Normal_CDF,average_hash_Cropping_param_0.9_Normal_CDF,average_hash_Cropout_param_0.2_Normal_CDF,phash_Cropout_param_0.3_Normal_CDF,average_hash_Inpainting_param_0.1_Normal_CDF,whash_Cropout_param_0.2_Normal_CDF,phash_Inpainting_param_0.2_Normal_CDF,phash_Inpainting_param_0.1_Normal_CDF,phash_Cropping_param_0.9_Normal_CDF,dhash_Inpainting_param_0.1_Normal_CDF,dhash_Copy-Move_param_0.1_Normal_CDF,dhash_Cropout_param_0.2_Normal_CDF,average_hash_Copy-Move_param_0.1_Normal_CDF,whash_Copy-Move_param_0.2_Normal_CDF,dhash_Inpainting_param_0.2_Normal_CDF,whash_Inpainting_param_0.1_Normal_CDF,average_hash_Inpainting_param_0.2_Normal_CDF,dhash_Copy-Move_param_0.2_Normal_CDF,whash_Cropout_param_0.3_Normal_CDF
0,0.0285,2.77e-05,0.00205,0.000138,0.000372,0.0559,0.135,1.35e-13,0.00102,0.00731,3.08e-05,0.0455,4.860000000000001e-21,8.61e-47,0.00185,0.0454,0.000238,0.000123,0.052,9.85e-14,5.3999999999999994e-24,6.37e-24,1.61e-13,0.0514,0.00284,0.123,0.07,6.06e-13,0.000138,0.000523,0.0122,0.0233
1,0.0327,3.3e-05,0.0026,0.000291,0.00042,0.0819,0.211,2.23e-13,0.00121,0.0092,3.67e-05,0.0549,1e-20,4.35e-46,0.00216,0.0569,0.000315,0.000139,0.0663,1.79e-13,1.4e-23,1.48e-23,2.77e-13,0.103,0.00634,0.207,0.0957,1.15e-12,0.000156,0.000588,0.0228,0.0276
2,0.0375,3.93e-05,0.00328,0.000592,0.000473,0.116,0.306,3.65e-13,0.00143,0.0115,4.36e-05,0.0657,2.05e-20,2.1699999999999998e-45,0.00252,0.0705,0.000414,0.000158,0.0835,3.25e-13,3.61e-23,3.3899999999999994e-23,4.72e-13,0.184,0.0132,0.317,0.128,2.17e-12,0.000177,0.000661,0.0403,0.0326
3,0.0427,4.66e-05,0.00412,0.00116,0.000533,0.159,0.417,5.95e-13,0.00169,0.0143,5.17e-05,0.0781,4.18e-20,1.07e-44,0.00293,0.0865,0.000543,0.00018,0.104,5.84e-13,9.219999999999999e-23,7.749999999999999e-23,8e-13,0.297,0.0258,0.446,0.167,4.05e-12,0.000199,0.000742,0.0673,0.0383
4,0.0486,5.53e-05,0.00515,0.00219,0.0006,0.212,0.535,9.66e-13,0.00199,0.0176,6.13e-05,0.0923,8.47e-20,5.2e-44,0.00341,0.105,0.000707,0.000204,0.128,1.04e-12,2.33e-22,1.76e-22,1.35e-12,0.433,0.047,0.582,0.213,7.52e-12,0.000225,0.000832,0.107,0.0448
5,0.0551,6.54e-05,0.0064,0.004,0.000674,0.274,0.65,1.56e-12,0.00233,0.0216,7.26e-05,0.108,1.71e-19,2.5e-43,0.00395,0.126,0.000916,0.000231,0.155,1.86e-12,5.85e-22,3.96e-22,2.27e-12,0.578,0.0805,0.708,0.265,1.38e-11,0.000253,0.000932,0.16,0.0522
6,0.0622,7.73e-05,0.00792,0.00704,0.000757,0.344,0.753,2.52e-12,0.00273,0.0264,8.57e-05,0.126,3.42e-19,1.18e-42,0.00457,0.15,0.00118,0.000261,0.186,3.27e-12,1.4500000000000002e-21,8.87e-22,3.79e-12,0.714,0.129,0.813,0.323,2.53e-11,0.000285,0.00104,0.229,0.0604
7,0.0701,9.12e-05,0.00974,0.012,0.000849,0.419,0.837,4.03e-12,0.00319,0.0319,0.000101,0.146,6.8e-19,5.5499999999999996e-42,0.00527,0.177,0.00151,0.000295,0.22,5.74e-12,3.58e-21,1.97e-21,6.29e-12,0.824,0.196,0.891,0.386,4.58e-11,0.00032,0.00117,0.312,0.0697
8,0.0787,0.000107,0.0119,0.0196,0.000951,0.497,0.899,6.43e-12,0.00373,0.0385,0.000119,0.168,1.35e-18,2.56e-41,0.00606,0.207,0.00193,0.000333,0.258,1e-11,8.740000000000001e-21,4.350000000000001e-21,1.04e-11,0.902,0.28,0.942,0.453,8.23e-11,0.00036,0.0013,0.406,0.08
9,0.088,0.000126,0.0145,0.0311,0.00106,0.576,0.942,1.02e-11,0.00433,0.046,0.00014,0.191,2.65e-18,1.17e-40,0.00696,0.24,0.00245,0.000376,0.299,1.73e-11,2.11e-20,9.550000000000001e-21,1.71e-11,0.952,0.378,0.972,0.52,1.47e-10,0.000403,0.00145,0.505,0.0915
10,0.0982,0.000148,0.0176,0.0477,0.00119,0.651,0.97,1.62e-11,0.00503,0.0547,0.000164,0.217,5.18e-18,5.2799999999999996e-40,0.00798,0.275,0.00309,0.000424,0.342,2.98e-11,5.07e-20,2.08e-20,2.8e-11,0.979,0.485,0.988,0.587,2.6e-10,0.000452,0.00162,0.604,0.104
