Hamming Distance,Number of Images
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,2
29,0
30,1
31,0
32,2
33,0
34,3
35,0
36,2
37,0
38,1
39,0
40,6
41,0
42,4
43,0
44,4
45,0
46,3
47,0
48,7
49,0
50,4
51,0
52,5
53,0
54,11
55,0
56,3
57,0
58,7
59,0
60,11
61,0
62,10
63,0
64,10
65,0
66,16
67,0
68,7
69,0
70,16
71,0
72,11
73,0
74,22
75,0
76,24
77,0
78,17
79,0
80,22
81,0
82,16
83,0
84,22
85,0
86,25
87,0
88,23
89,0
90,26
91,0
92,12
93,0
94,34
95,0
96,20
97,0
98,27
99,0
100,26
101,0
102,17
103,0
104,27
105,0
106,30
107,0
108,16
109,0
110,28
111,0
112,19
113,0
114,21
115,0
116,20
117,0
118,19
119,0
120,26
121,0
122,14
123,0
124,18
125,0
126,12
127,0
128,21
129,0
130,12
131,0
132,11
133,0
134,15
135,0
136,9
137,0
138,10
139,0
140,6
141,0
142,13
143,0
144,8
145,0
146,9
147,0
148,6
149,0
150,6
151,0
152,8
153,0
154,3
155,0
156,3
157,0
158,0
159,0
160,2
161,0
162,4
163,0
164,7
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,2
177,0
178,1
179,0
180,0
181,0
182,2
183,0
184,0
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
