Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
photo_2025-05-30_18-13-13.jpg,1001111000000111100110010101101111100000111110000110111110100100011000110001100100111100101011000001010111000111100101000001100110011111001001110011000111100011011010011010110101000011100010100101101011000111001111101100001000110000111100111000110010110001,000001111101101001101110000110010000000000111101101100100000110110111110010110110110010001100000011000110011110111101010001010111110100000000111001101011111110110101100110101010011111000111100111001001011001101101011000101111001010110010110011111010000000000000000010000,False,False,False,False,138,0.18655133247375488,0.04322195053100586,0.14205646514892578,0.0012478828430175781
photo_2025-05-30_18-11-19 (2).jpg,1100001010011011100011011101100111111100010010111100000111110001100111111001010000001001001101100101101100110100000100110100010111110010011011011010100001000110101011011110001111100011011010011000001000110100110101101001011001100010100110110100011110110000,01111001111110101111011110010000000010000011111100000110001010001010110101110010110101010111111010000101101111101111010110100110110010011011011001001100010000001110001100111010010000010100000100000101101011100010101001101,False,False,False,False,120,0.0282285213470459,0.010843515396118164,0.015708208084106445,0.0016598701477050781
photo_2025-05-30_18-14-53.jpg,1110100101111011100100011010011111010110110001001000111000011001000011110011011010011001011001000100000011011001001000100110101110111001000011001110011011011110100011100111000100111001111001110110110011101011110011011001110110010011001100000011000000010010,101001011101110001011100101001000010010001110111110010001111010111000010010001101011111000101010001101100001000111000110111011100001111100100000010110010011100001110111000100111000110010101110111101011110011100101000100111010001100100011000100011010,False,False,True,True,122,0.01935887336730957,0.005872964859008789,0.01231527328491211,0.0011544227600097656
photo_2025-05-30_18-15-07.jpg,1001111100000000001110010111101110101001011010010000110100101001100100001011110110010010101001001001010010111011110110100110010101010110011011011100100101011010111011110100100000001100011110101010010011010101001101101001001111001100111010111100101011000010,1001111100000000001110010111111110101001011010010000110100101001100100001011110110010010101001001001000010111011110110100100010101010110011011011100100101011010111011010100100000001100011111111010010011010101101101100001001111001100111010110110101011000010,True,True,True,True,10,0.026111125946044922,0.010668277740478516,0.014655590057373047,0.0007719993591308594
photo_2025-05-30_18-14-42 (2).jpg,1101111101011111110100101010111001101100011010000111000000111000001001001000110101110000111000001000001001011010110110101101011111100011000010010000001101011011110010110010001010001011010101100000110110110110001011110111100111010111110100000010010111101010,1101111101001111100100101010111001101100011101000111000000111100100001001010100101110000101010001000001001011010110110101101011111000000011011011010000001000010001010110011001100001110100111100101101001001010011110000110110011100001000,False,False,False,False,61,0.021501541137695312,0.00702977180480957,0.013182401657104492,0.00127410888671875
photo_2025-05-30_18-12-41.jpg,1011010001101110100000111110011011111111100000010100100110010011000111110011000110010111101011010010011100011010111110000111110010100101100010100111101001000100111101110010001101001010110111001110001110101010000010000101110011000000100010111010110000010101,101101000111111010000011111001101111111110000001010110001001101100011101001100110000011110100001000011110001111011111000011111000001001011001001101110100100001001100110101100010100000101011001110101010000010000101110011000000101010111010110000010101,True,True,False,True,68,0.01946735382080078,0.006379127502441406,0.012344121932983398,0.0007290840148925781
photo_2025-05-30_18-14-44.jpg,1111101111011100110010010101001010110000011000111110001010001100000111000010000100100111101011001110000011010101001111000111011111001001010010100011101101001011111001010011100001101110001010001100011011110011010110100101000101001101001010110111101100110000,01111111010001101010001101000100011011100001001000000011010010101000000000011110101000001010000110011011111011101011100010010011100110000100000010001111111010110110101000110100011100111100001100001011000010000001110001110000110000111111110011001001101011101010010,False,True,False,False,129,0.017342567443847656,0.004762172698974609,0.011523723602294922,0.001041412353515625
photo_2025-05-30_18-14-56.jpg,1101100011011010000101000111010001100011011001111010010110000001010101101001010010101001110101101001111000111000110110100111101010011101011001010110100010100001100001010110101010011110101000011100100111010110001101100010101111000000110111001001111101101010,1000011000001100100011100101000001100010101101000001010011010011011010110100110010011010010101101010011011100010011010111101100000101000010000100000111111010001001001110000110011000111010011010100100010010011110011000110111000000101110,False,False,False,False,109,0.021440982818603516,0.006931304931640625,0.013210773468017578,0.001283407211303711
photo_2025-05-30_18-13-09.jpg,1010101101101101100001001001101011010110110010001000111011000100101110111001111100001001011101011010010110111011111111000111100010111001010100100001110100000010100000011101010011000011101110000001100110100010011010011001001010010011101101000110111110001011,101011110110110111000100100110011101111011001100101001101100110010011011000101100001100101100000000011000011110111111110011110011001100011010000000111001000001010010001111110001101001110111010001011111010100001001001100100010001,True,False,True,False,48,0.02267909049987793,0.007885932922363281,0.01376795768737793,0.0010106563568115234
photo_2025-05-30_18-11-26.jpg,1011010000010011011101110010111100011011101011101110000001010000001110011101100110001111100100010101001111010101100001001110011111111111000011000101100111100110010000100111110110111101100001010000010001110000000000011001110011101110110000000000011111111010,11111100001100111011001110001111000110101100111101101011011000000001100110010011100011011000100101000011110101011001000011110001111110110010110000011000111000111100101000111101111011010000101000001010111000110001111101000100010001000110001100000011110110010000110,True,True,False,False,74,0.0224301815032959,0.007901430130004883,0.013620615005493164,0.0008924007415771484
