Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
WhatsApp Image 2025-05-29 at 16.33.35 (1).jpeg,1010011111000010111010100101101010011001001011000110010010100110111001000001100111000001101111011100111101000001100011011000100010011001001111111100000011011100100000011111110010010111011011010010111000001011000011100111001010011110010001111001110011010101,1010011111000010111010100101101010011001001011000110010010100111111001000001100111000001101111011100111101000001100011011000100010011001001111111100000010011100100000011111110010010111011011010010111000001011000011100110001110011110010001111001110011010101,True,True,True,True,4,0.03173637390136719,0.016233444213867188,0.015137434005737305,0.0003490447998046875
WhatsApp Image 2025-05-29 at 16.45.57.jpeg,1101000010011011111000000111101111011110010101101011111001000110001000111100010010011001110110110001101100010101000011000101101111010110011100100010011001100001110001111100010110011100001110000100100100110001110111000010100100011010001010011110011101001111,101010100010101011010100011100100000011011101110100011010010011110100110101010011111001110000111110110110100101100011110001110010101110001100111010011000110000100000111100111011101100111101000110100001011110111001101011010110010,False,False,False,False,91,0.035343170166015625,0.018706321716308594,0.015263080596923828,0.0013585090637207031
WhatsApp Image 2025-05-29 at 20.44.57.jpeg,1000010100101011011001001100110010110011111101001101111001001010010011100100110100000100101111010010010011101010111010111101000010011011000100011010010011001110010110000111101000010011011011001100100110001001111001111111000110101110000101110001011001110010,1000011101010000010001101100110110010011000001011111110100110110111011001011010000001011110010110101001101000010111001110010111011111001101100011010011001111100010110001110001100010011001000110010110100011100111011110001011010100100111111011011101010100011,True,False,True,False,109,0.03679013252258301,0.019005775451660156,0.016922473907470703,0.000843048095703125
WhatsApp Image 2025-05-29 at 20.43.36 (1).jpeg,1110110100001101100010110101001101010110001100101000001001110111001100010100110110100101001010111011001000110101110101000111111011010010011101101101000011011000110010101111100011000011011110001100110111000010100010111110100010001111010000011100111100100000,0100110100001101000000100001011100010100011100100011001011010111001010111110100110100101011010110111110101110001110010111100111000111010111111100111010110011100010011000011101110000110011101000101110010010010001111101001100111000100010100000100011000110011,False,False,False,False,88,0.03852486610412598,0.022653818130493164,0.014634847640991211,0.0012161731719970703
WhatsApp Image 2025-05-29 at 16.45.56 (1).jpeg,1001000100010111000011101011101101001110110010000100110001000100111100010011011011110000011110110011100101111101101011110100110011101110110110100000011011110111100010000011111101011100000010000001111100000001111101110000000001111011111000001001000011111000,1001000010000111100011101011101101001110110011000110001001000100111100110011011011110000011110110011100101101101101011000110110011101110000110110010011000110111100000000011111101111110000011100001111100000001110101111000001101111001111000001001000011110000,False,True,True,True,31,0.030353069305419922,0.013811349868774414,0.015952110290527344,0.0005705356597900391
WhatsApp Image 2025-05-29 at 16.41.46 (1).jpeg,1001001110100111111001100000011011010100001111110101101100111110001010101011011101010100111011100010110011001100111111001101110110000111110110001110000010111001110001111101000001110000001100010001111100000000011111000000011100111100011000100001110000100001,010000001000000010101000110100011110101010001000111111011111000010000011110000100000110100101001101110110010111111011000111101100110001111100111000101001101110011101011110111111100001001100100011110011001001000111111000011110000011110101111001111000,False,False,False,False,129,0.021059751510620117,0.00935673713684082,0.010491371154785156,0.0011932849884033203
WhatsApp Image 2025-05-29 at 20.41.53 (1).jpeg,1101010010110100001010110100101101110011100000110001000011110001000011000111111011111111000001011011001110011000110001001010001001101100010011010001101110100111111100010001001001101111110011001001100001101111101100111011000001001101100011100011010001101001,11010001110000010000101011100011111011100101101111000010100111001011100011000011110011111111001001100100111011101011000100000000011001010111111010100001001111001001011110010111001101110111101011011100111010010010100010110,False,True,False,False,109,0.029455184936523438,0.012625455856323242,0.015407800674438477,0.0014035701751708984
WhatsApp Image 2025-05-29 at 20.44.08 (1).jpeg,1111111100010101100100000101000011111000010101001100111100111111100100000000010010100011110111001001011011111111110001111000000000010110100001100100110100111110110011010101111000001001110100000110000100001110110001111000110111011101101110010011100010010011,101010100100111011011110110101000001010111100100101111101111000001010010110001001001010010110010111000010111011101110111100001111111010010010010000100001011010010100101100000110111000000110101100110111111000010111011001000100010101001101001110000010011111000001010010111,False,False,False,False,141,0.024655580520629883,0.01023101806640625,0.01325845718383789,0.0011472702026367188
WhatsApp Image 2025-05-29 at 16.44.34 (1).jpeg,1001010100101110110100110000110001011010110100010110110011110011011010010100011010010010110011100110000100101010110110110001100101100101101011010110010001100111011001110011010111010011110001100110010100110001110011011001100101100100101101101001001100100100,10010101001011101001001101111100000110101101010111101100101100110110000101000110100001111100111001101001000010101101000100011000101001111011010101101110111000010110010000111110100010001010001000100000110010110110001110011111001100101100100101101101000001100100110,True,True,False,True,76,0.029619216918945312,0.013334035873413086,0.015717744827270508,0.0005488395690917969
WhatsApp Image 2025-05-29 at 20.43.26 (1).jpeg,1001001000111001111001010100101010101100100001001001101010011101010110110110001100110100111010110010011111010100111011101110101010111001010011110101001100010101110011000110101010111100111001010011011110011010011010100011001011000001010001011000010000101000,1001011001110001111000011100101010101001100001110100101000111100010100110110000100110001111000110010011101011101111011101110110010111001010001100100001100011001100011000010100010110100111101100110010100011010111110100011111111010010010001001000110110110001,True,True,True,False,56,0.03231453895568848,0.016470909118652344,0.015274286270141602,0.0005524158477783203
