Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
WhatsApp Image 2025-05-29 at 21.39.07 (1).jpeg,1100000001100110111111010010110100101010110111000010100001100011011011101001110101000100011011100100101110110001001111010010110100101011011010100101001001000101010101000100001110100110101111101110010000110111110101111010000001110010011001100111011011000001,1100000001100110111111010010110100101010110111000010100001100011011011101001110101000100011011100100101110110001001111010010110100101011011010100101001001000101010101000100001110100110101111101110010000110111110101111010000001110010011001100111011011000001,True,True,True,True,0,0.33597350120544434,0.08642864227294922,0.24894976615905762,0.0005686283111572266
WhatsApp Image 2025-05-29 at 21.30.53 (1).jpeg,1001010001000100101010111011100101010101111000100101101000011111001001011111001011110000100010110100111101010000111100001010111100011111010100111111000110001101110010000101001000110111101001111101100000011010110000110010011101111100110000000010000110011101,1001010001000100101010111011100101010101111000100101101000011111001001011110001011110000100010110100111101010000111100001010111100011111010100111111000110001101110010000101001000110111101001111101100000011010110001110010011101111100110000000010000110011101,True,True,True,True,2,0.044289588928222656,0.0208737850189209,0.022638559341430664,0.0007531642913818359
WhatsApp Image 2025-05-29 at 21.36.02.jpeg,1000101000000101001010000001111111000000010111110110011101111000111100000011100001000111110010100111010100101011100011100110000001110001001011101001110011111110110011001101100101110100001011001100011001010111001111010111011100100010110110011000100101101100,1000101000000101001010000001111111000000010111110110011101111000111100000011100001001111110010100111010100101011100011100110000001110001001011101001110011111110110011001101100101110100001011001100011001010111001111000111011100100010110110011000100101101100,True,True,True,True,2,0.038759708404541016,0.018666982650756836,0.01962423324584961,0.0004477500915527344
WhatsApp Image 2025-05-29 at 21.30.13 (1).jpeg,1011111010010100100100111001111000010011011010010001110011101010010010010001111000011111011110011111010010001001110010011001010001100010011011000010001001110110001111110000010001001111000011101000110011011000100010010111110111001001101110010010101111100011,1011111010010100100100111001111000010011011010010001110011101010010010010001111000011111011110011111010010001001110010011001010001100010011011000010001001110110001111110000010001001111000011101000110011011000100010010111110111001001101110010010101111100011,True,True,True,True,0,0.03682589530944824,0.0187833309173584,0.01726245880126953,0.0007610321044921875
WhatsApp Image 2025-05-29 at 21.33.59.jpeg,1001101111000000110000000011001111111100000110000011001101100000100011001101101111110111110000000100011000110110001010001001100000111000101100111101111111010110011100110011011110101100111111001011010001010000010110110111111101001001000111010010001001000111,1001101111000000110000000011001111111100000110000011001000100000100011011101101111110111110000000100011000110110001010001001100000111000101100111101111111010110011100110011011110101100111111001011010001010000010110110111111101001001000111110010001001000111,True,True,True,True,4,0.04854893684387207,0.022586822509765625,0.025518178939819336,0.00042438507080078125
WhatsApp Image 2025-05-29 at 21.37.07.jpeg,1000010001110110111110101010000111100001111101010101011100011010000110100000110100100101111100001101001110001010111110011101110101110110001101100010011001000010101000011101100101011110101101101111000000000010111000011100000100100110001101010011101001111110,1000010001110110111110101010000111100001111101000101011100011010000110100000110100100101111110001101001110001010111110011101110101110110001101100010011001000010101000011101100101011110101101101111000000000010111000011100000100100110001101010011101001111110,True,True,True,True,2,0.03853631019592285,0.02070450782775879,0.017186641693115234,0.0006251335144042969
WhatsApp Image 2025-05-29 at 21.33.16 (1).jpeg,1000010011001010110110010110010101100011001101100100110101011011000111001110101010000011001001011000011001010101111100001000101001110111000010100000111001110101100100001000111010101101101010101110011101110011011100101101111100111101101010001000110100110001,1000010011001010110110010110010101100011001101100100110101011011000111001110101010000011001001011000011001010101111100001000101001110111000010100010111001110101100100001000111010001101101010101110011101110011011100101101111100111101101010001000110100110001,True,True,True,True,2,0.03825855255126953,0.017668724060058594,0.020120620727539062,0.0004513263702392578
WhatsApp Image 2025-05-29 at 21.34.02 (1).jpeg,1101000110111001001000011110000011010111100000110011000100111001000011111001000001100000101110010111110000000100101010000101111110111010000110101101001110100100000001101011111111001110110010010111010010101110011111101100111101100011011001000010101101011001,1101000110111001001000011110000011010111100000110011000100111001000011111001000001100000101110010111110000000100101010000101111110111010000110101101001110100100000001101011111111001110110010010111010010101110011111101100111101100011011001000010101101011001,True,True,True,True,0,0.03611135482788086,0.01770639419555664,0.017943620681762695,0.0004439353942871094
WhatsApp Image 2025-05-29 at 21.39.11.jpeg,1110100010000100011110100001111000110101011110100011010111100000110001101001010010100001100001110000111101010010100001111011010101101000101011010010011111010100100001100111111111000111001111110010101010001010001000011011000110001111110111001000011110100011,1110100010000100011110100001111000100101011110100011010111100000110001101001010010100001100001110100111101010010100001111011010101101000101011010010011111010100100001100111111111000111001111110010101010001010001000011011000110001111110111001000011110100011,True,True,True,True,2,0.024668216705322266,0.00989675521850586,0.014299154281616211,0.00045490264892578125
WhatsApp Image 2025-05-29 at 21.34.52.jpeg,1011001110001101110001001101110010010001110111100010001001111001010010001001110000100011111100100100011111000111110110111000000110100110011011111100110110001011000101100111010100110110110011010100001100000011001101100100011011000101000100111101100100110110,1011001110001101110001001101110010010001110111100010001001111001010010001001110000100011111100100100011111000111110110111000000110100110011011111100110110001011000101100111010100110110110011010100001100000011001101100100011011000101000100111101100100110110,True,True,True,True,0,0.034667253494262695,0.018717527389526367,0.015445232391357422,0.00048732757568359375
