Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
WhatsApp Image 2025-06-02 at 15.30.01.jpeg,1100100010001010110010101011101100000001001101011101001000000110100101111110011001111101111100011001110011100101000001101110111001111101000110100001011111000011110100101000010000011001101100001110001101100000111001111100011000111111000011111110001000100110,1100101010001010110010101011101100000001001101111111101100000110000001110110010001111101111100011001110011100101100001100110011001110101000110100000011111000011110110101000010000011001101100001110001111100010111001011100011000011111000011111110001001100110,True,True,True,True,20,0.024949073791503906,0.011324167251586914,0.013244152069091797,0.0003638267517089844
WhatsApp Image 2025-06-02 at 15.31.34.jpeg,1101010001110011110101010101010011100001010101011000010101100101110011010101011010100110110101001001011110100101110010101001011100011010110111000001000110001100100010101010110100111011010010011111100100101010010111001010101010101010010101000101110100101010,110101100010100011010010100001101101010010110101110101100101110111000100111010000010011101000001110010100001110110010101101101000000100110100001101111000000100010110111010010100111010010010011001110000101001110101001110010101011,True,False,False,False,113,0.027826547622680664,0.013069868087768555,0.01357579231262207,0.0011653900146484375
WhatsApp Image 2025-06-02 at 15.32.45.jpeg,1101010111110000010111101000011111101110000001111000000001010111110101000110000011101110000000100011110101010111110111101101011110011100000001100011110101011010001011100001011100100010100000111111100101100000011011100001011101001110000101101101100101011000,011010001001000111101100000000111100101010100110101000101000000101001011000000000110000010001000011011110101001010000110001001000011010000010100000011010111000000001000001000110110001001010010001000111011001001010000000101100100000001001101101011000011101110011011000011,False,False,False,False,109,0.029477596282958984,0.014838457107543945,0.01364898681640625,0.0009739398956298828
WhatsApp Image 2025-06-02 at 15.29.30.jpeg,1110001000000000111111110100110000001111111111111100000011111111001111000001001111000111000000000111100111101111000011100010001111110011000010000001110011000111110001000110000000111110001110001000010111001111111110000111000000001111001110111111000000110001,0100101001000101101001010110010001011010101100110110100001010101011000110110101100011100111110001111001111111000110110111110010001010010010011010101001110110100001011001101101111100011101001000000110110000110011011100110011000000000110000010101100111010100,True,True,True,False,131,0.02343130111694336,0.010102033615112305,0.012571096420288086,0.0007429122924804688
WhatsApp Image 2025-06-02 at 15.33.22 (1).jpeg,1000000001111111111111001110011110111101000000000001011111100000011000101111010111000001000111111011110100011000101100100110100011000110111001000011010010010110011010011111001100001101011000011001000100101111001100101110000001001110100111011100100111011010,1100010001111011111111000101110111111101100100000001011111100000011000101111010101000001000111111011110100001010101100100110100111000110111001000001010010011110011010011101001100001111010000001101000100111111001100101110000001111010011101111100111111010011,False,True,True,False,35,0.02402520179748535,0.00966191291809082,0.013517379760742188,0.0008304119110107422
WhatsApp Image 2025-06-02 at 15.30.36.jpeg,1100100101100110010101110101011000101100010010000001001010110110101010110010111111100110111011011101010010101101001111101000000010100010011010011110111100001111000101011101010010101001110001110001011000011000101000010111100101001110110011100011110110000100,111000111100100101110000000010111101111011110010001011010010000111110100000110110110001110101010011100001100101011101011010100001000011000100110001100000110101010011100000111100000110001011011100000101110110001000000010101111010001010010000111100110,False,False,False,False,136,0.020954132080078125,0.007617950439453125,0.012135505676269531,0.0011844635009765625
WhatsApp Image 2025-06-02 at 15.31.26.jpeg,1001000010100101110101100000100011100100001010011111100100100011011110010100101010001110110010101001111100010110011001110000110010001001101010011011000111100010011001101111101010101100011110001011001100110100010101101100110000101000110101111110011100110111,100100011010010011010010101000001110010001101011111110011010001001111011010010001000111001001010100001011001011001000101000000001000110111001001100110011110101001100110011100101010110001111010101110010011110001110110010111000101,True,False,True,False,39,0.025557518005371094,0.011545181274414062,0.013064146041870117,0.0009334087371826172
WhatsApp Image 2025-06-02 at 15.30.38 (1).jpeg,1001101001010010111101001011011011000011010010101110010100101101110010100010110110111100011101111010110011110101101001001000010100011011110010010011000101011001001001010010101001000110000100100110010110110000010000110111111011011010010101011101000001101111,1001100001101010111101001010010011000111010010101111011100010101110000111101101110111101111001011000010011110000101001110000100000011111010010110011001001010001001001010110110001010110010100100110110110010010010000110011111011001011111101001100100101101111,True,False,False,True,57,0.02698349952697754,0.012826919555664062,0.013248682022094727,0.0008902549743652344
WhatsApp Image 2025-06-02 at 15.31.32.jpeg,1011101111110010100100111010111111100100100110000100110001100000011011000000001110010011001101111011011100011001110100011001110001001110110111000001100011101100100100011100011101010000110000101111110000000011111011100110011101101110000000111000011100011101,101110111110011010011011101101101110010010011000010001100100100101001110000000111001101100111111101001011011000010010001110111000100111011011000000110100110110010000001110001110101100111000110110100101100111010111000100111110110001001111011100000010,True,False,True,False,56,0.02696537971496582,0.012539148330688477,0.013602256774902344,0.0008077621459960938
WhatsApp Image 2025-06-02 at 15.32.46.jpeg,1110101110001111001001110001011110010101111110000011000010101000100111001110011110011001100101001100011100010000100000111001011111000110010111001101111000011010000111100001110011011110010111101000101101010000100110001100001111010011001110000011100111100001,101000011100100000001111010001111011001100101101011000110110000101010101100001111100001111001101101010011110010111011111110111011001100011111101110111000111011101101001000111110011010100011101010111011101011100101101110100010111011001110011100010001110000111100011000010,False,False,False,False,118,0.029240846633911133,0.012963294982910156,0.015204191207885742,0.0010559558868408203
WhatsApp Image 2025-06-02 at 15.29.37 (1).jpeg,1110010111000110101101100101100010110010010110001001111100100011100110110110100111111000110011001101110001100110110011011100011011111000100011101111000110011000111100011001100011000001101110111110011000111001110000001001100010000000001110010000011000011101,1110010101000111101101100001111100110000010010001000111100100011101111110011000111111000110011011101110001111110110011011000011011111000100001111110011100001100111000011101000011010001100100111110101001100001111001001001010010010000001110100101011100101001,False,False,False,False,51,0.02315354347229004,0.008774042129516602,0.013221025466918945,0.001142740249633789
WhatsApp Image 2025-06-02 at 15.32.49 (1).jpeg,1000011001100101100110011110011001110011111001110110011001001010011111000001110001101110011000000110101101101100011010110110110101101000010111100010110010110010001101111001011010100010011100011011000001010011111100000100101101010010111011000000101100101100,1001100110010010001001100110100101110010011001101110010011000110000110011001100111011001100110010110011001100100011001100110011001100110011001101001100110011001100110011001100111100100111001000011001001100110011101000101101111011001110110011001100110011101,True,True,True,True,116,0.022951602935791016,0.009140491485595703,0.013167381286621094,0.0006284713745117188
WhatsApp Image 2025-06-02 at 15.32.43.jpeg,1111101101110000100011100111101010100110000010011010000110111111100011011100010010101100001100011111100100000011011100001110111101111010011101001000100000010011101011111000100011111110000011001101011000111000010001001010010101011001101000101111100110010010,0101101100001000101011001000000001001111000110101000001011010001001010110110101100100110001100110001101100000100110110100110001100101001100100110101101100010011100111010011001101011000011110000,False,False,False,False,91,0.02793145179748535,0.013204336166381836,0.013129472732543945,0.0015835762023925781
WhatsApp Image 2025-06-02 at 15.31.31 (1).jpeg,1011111001111111101111110111101100011101101110110001000111111111000010011111111010111100010000111100110000010011100010010111001110010011101010110000001010100011110000001011001111000000000100111100110000000001111011100010000000111100001000001111110000100000,101100010011110100111000010100111111100111101100100001010101000110011111010010100011001000110100111010100110001011111110111011010010101100010101010001111111101010111100001010111010110011110111101111010101111110110110100010011000100010011000110001001000100110100010100000,False,True,False,False,129,0.03103160858154297,0.015434980392456055,0.014577627182006836,0.001003265380859375
WhatsApp Image 2025-06-02 at 15.29.33 (1).jpeg,1101011101001111011001001110010011100011111100010010011000101111110100101101000001001111101001111100100001101110001111011100110111110010000011000001001011111110001101001110010110000011001000000110001110010110110011001000000011111010010101100011000010101100,1101011101001111001000001110110011100011111100000011011000001101100000001111101001101111101001111101100000001110001111011100110111110001000011010011001111111110001101001110010111000001101001111111101110000100110010001000001101011000010111100111001010101000,True,True,False,True,43,0.026709794998168945,0.012929201126098633,0.013120174407958984,0.0006449222564697266
WhatsApp Image 2025-06-02 at 15.33.27.jpeg,1110010000000110000111111111001100011001011110011110011110000011111001100110011000111000110011000000011110011001000110011111101111001110000111011111111000100100110110000100110011000011100110010001100001110001001100111001111011000011110010100011011000001000,1101110000100010000010011111000100010110100110011111011000111110100001111111100011000100111000111001100000001111001101100011000001110001110111001110110011100010010010111000001100111100111001001110001111010011000111000010011011001001100,False,True,False,True,125,0.025799274444580078,0.011662483215332031,0.013164043426513672,0.000957489013671875
WhatsApp Image 2025-06-02 at 15.33.21 (1).jpeg,1011010000110101111101100110010011101011110101001110001110011001100001111110011000011010001001111001100100101000101101110000100000111110001100011001010001110010111101000101111110000001001111110101000111100000110010001110000010011111010001100101111001000110,000011000000000010010010111101001110100111110110010011000010010110001001011100000110010111101001100110001010001111000100011111100001001010111110000100000111001000010111000100011100010000,False,False,False,False,83,0.030668020248413086,0.014678478240966797,0.014343500137329102,0.0016322135925292969
WhatsApp Image 2025-06-02 at 15.30.01 (1).jpeg,1110110110111011001001110111000110010010011100010000101011011000110001010110110001101011001101010011111110000111101101001100010110011101101110010100111100111000110010100111100010010100101100100011000100110110000110000000101101101010110010010010010001101101,0011000101010100100011101100001001110100101111010001101001110000010011010100011101101000001001001010011100000000110000010011000000010001110001001100110010010001010110100010110010010100000100011000000111010011101010010011101110010100011011101111111000011001,False,False,False,False,122,0.02631378173828125,0.012089014053344727,0.013116121292114258,0.001092672348022461
WhatsApp Image 2025-06-02 at 15.29.35.jpeg,1001000100100101110010001100110010011001001110111110001110100110010011011101001001001010010010000100110011001101010001010010011001110010110111011011000110010110100111110101001010011111100000011000101100110110010011011101110011001100110010110100111001110101,001111010011110011001010111011011001011011011000001001001011110010010100110001001101010001010110111000110000000100101001100101001101000010111010110011001110100011111001100110110110110011011100110001001100100110110101110011100101,False,True,False,True,123,0.025960683822631836,0.011827468872070312,0.013095617294311523,0.0010228157043457031
WhatsApp Image 2025-06-02 at 15.32.50.jpeg,1101010111111011000101101110010111000001101011100110010010001110010000100101000000111101000110101110100100000100001000010111111100101011110010111110011111100001110010110101110000000111111100111010010101010001010100011011101100111110100001010101000010100100,10011111000100110001110000100101110000011010110011010000100111100000001010000000111000000111101000110111110111100000100001101110111111000101010110010011110010111100101110010010111110000000011111100111010010101010001010110111011101100011110100001010101000010100100,False,True,True,True,107,0.027247190475463867,0.013504981994628906,0.013061761856079102,0.0006644725799560547
WhatsApp Image 2025-06-02 at 15.31.56.jpeg,1011010000001111001001010000000110001100011101100011101000001111100110100101100100010110111101011100100111111101000100011100001101111110011111011001100101011100011100010111000011001010000011010000000000101010010101111000111110101011010111001011110000110111,101100000000111100100101000000011010110010110101001110100000111110010010010110010001011011110101111011011111110110010001100000110111111001111101101111010100110001101001011010100010000101111000110010001101000111011001111010010011,True,True,False,False,50,0.026456356048583984,0.012258529663085938,0.01312565803527832,0.0010571479797363281
