Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
WhatsApp Image 2025-06-02 at 15.44.17.jpeg,1100100100000000000001110100010011110100100000100111001100011101011011110100001111001101101010101001000111001000110110011110101100011100110001111100110101100110011111011110110000001101100110000011111011000000111100110110000100110110110111101110111011000000,1100101100100000100001110100010011110100100100100111001100011100011011110100001111001101101010101001000111001000110110011110101100011100110001111100110101100110011111011110110000001101100110000011111011000000111100110110000100110110110111101110111011000000,False,True,True,True,5,0.3494234085083008,0.08320116996765137,0.2651517391204834,0.0010504722595214844
WhatsApp Image 2025-06-02 at 15.44.24.jpeg,1011010010100111100000001111100010010011011110000011110111111101010111111111110000100010110110101101110100000000110011000010010100110110000100001010001101011110000100010011111101000101101111111000011010010110001111100101100001100101101000000011001100001111,1011010010100111100000001111100010010011011110000011110111111101010111111111110000100010110110101101110100000000110011000010010100110110000100001010001101011110000100010011111101000101101111111000011010010110001111100101100001100101101000000011001100001111,True,True,True,True,0,0.024910688400268555,0.010331392288208008,0.01422739028930664,0.00033545494079589844
WhatsApp Image 2025-06-02 at 15.39.52 (1).jpeg,1001011101010001011111100011110000011001101001101000000111110111011001100001100110110111100010100110101001100100110000100110100110011101100011101100100110000110100101100001100101111001100110000100110100110111001100100100100101101101000100111001011011100111,1001011101010001011111100011110000011001101001101000000111110111011001100001100110110111100010100110101001100100110000100110100110011101100011101100100110000110100101100001100101111001100110000100110100110111001100100100100101101101000100111001011011100111,True,True,True,True,0,0.025806188583374023,0.012134790420532227,0.013197183609008789,0.0004589557647705078
WhatsApp Image 2025-06-02 at 15.40.43 (1).jpeg,1111011001100110111001100110011000101101101000111001100110011001010110011001110001001100110010011100110011001001001111011001010010111100111001000100101101001001100110000000110000110110101101100010011011100110110111011000010000011011001110010101110001011001,1111011001100110111001100110011000101101101000111001100110011001010110011001110001001100110010011100110011011001001111011001010010110100111001000100101101001001100110000000110000110110101101100010011011100110110111011000010000011011001110010101110001011001,True,True,True,True,2,0.024458646774291992,0.010935544967651367,0.013119935989379883,0.0003883838653564453
WhatsApp Image 2025-06-02 at 15.39.12 (1).jpeg,1011101000011010100101010111011101001011101000000110110001010101001101001011101010110010110101010110011100001100001010100010101101110110011101001001000010000010011001111111011111001001000010000011110011011101100111001011000001100111001111101100100111001001,1011101000011010100101010111011101001011101000000110110001010111001101001011101010110010110101010110011100001100001010100010101101110110011101001001000010000010011001111111011111001001000010000011110011011101100111001011000000100111001111101100100111001001,True,True,True,True,2,0.025587081909179688,0.011889934539794922,0.01314091682434082,0.0005412101745605469
WhatsApp Image 2025-06-02 at 15.39.02 (1).jpeg,1111110000100110000010111110000100000011100111001111011000111111111111000110001001110001110011000000011110011011000110000011110011101100011101001110001110000111110011100100100000111001100110000001100111100111001001110001111010011000111000010011011001001100,1111110000100110000010111110000100000011100111001111011000111111111111000110001001110001110011000000011110011011000110000011100011101110011101001110000110010111110011100100100000011011110110000001100111100111001001110001111010011000111000010011011001001100,True,True,False,True,7,0.025325775146484375,0.011587858200073242,0.013148784637451172,0.0005741119384765625
WhatsApp Image 2025-06-02 at 15.41.06.jpeg,1100110011100011011001100110001000110011000110011001100110011100011001100110001111001100011100111000110011001110011001100110100101110011001001101001100110011110111001001001100111000110011000101000110011001001001001100100011111010011001100101001110110110011,1100110011100011011001100100001000110011000110011001100110011100011001100110001111001100011100111000110011001110011001100110100101110011001001101001100110011110111001001001100111000110011000101000110011001001001001100100111111010011001100101001110110110011,True,True,True,True,2,0.02366042137145996,0.010112524032592773,0.013077735900878906,0.0004551410675048828
WhatsApp Image 2025-06-02 at 15.39.44.jpeg,1010111011101010100100000010101010110111010101010011100011010100100101110100010010111101111111011100000100100101100101000101101111001010110010001001010101111011010000100010100100000100001010110101001110101011001010100001110111010011100110110100101101101101,1010111011101010100100000010101010110111010101010011100011010100100101110100010010111101111111011100000100100101100101000101101111001010110010001001010101111011010000100010100100000100001010110101001110101011001010100001110111010011100110110100101101101101,True,True,True,True,0,0.027208328247070312,0.013177633285522461,0.013680219650268555,0.00033545494079589844
WhatsApp Image 2025-06-02 at 15.38.59.jpeg,1100000111110010111000011101001000111110000011000011111000011100001110101110100111000001111001111100001001001101001000111100000000110100100110111101110000011111110001111000000000111011101001000011010101011001110000111111000111001000110101100011111000011111,11000001111100101110000111010010001111100000110000111110000111000011101011101001110000011110011111000010010011010010001111000000001101001001101111011100000111111100011110000000001110111010010000110101010110011100001111110001110010001101011000111110000111110000011,True,True,True,False,0,0.024190187454223633,0.010439157485961914,0.013191461563110352,0.0005445480346679688
WhatsApp Image 2025-06-02 at 15.39.44 (1).jpeg,1001010101000001100101010100100010000100010100111110110111010110001010101111010111001010101101001011010010111001110010101010111010100100010110111001101100101010011100001101100011000111010100100111001010101100110110011001001001000101011011101001101010111100,100101010100001110010101110010001101001010101111010111001010101101001011010010111001110010101010111010101100000110111001100100101010011100000011100011000101010100100111001010101100110111011001001001000101011011101001101010111100,False,True,False,False,106,0.025135040283203125,0.011392354965209961,0.01258707046508789,0.0011413097381591797
