Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
143.jpg,1101110000001100101111010010110111111111111100111100111000001100011100010001111001100100110010101000001100011101100101101111010000000011111110111101111111011000111110100111000011111100110010000000100011010111001010000001001000000000110101110010001000000011,1101110000001100101111010010110111111111111100111100111000001110011100010001111001100100110010101000001100011101100101101111010000000011111110111101111111011000111110100111000011111100110010000000100011010111001010000001001000000000110001110010001000000011,True,True,True,True,2,0.03727006912231445,0.01881718635559082,0.0180816650390625,0.00035572052001953125
66.jpg,1100111100110011100100110111100000110011010011000110000010001110110011001011001100101101001100010110101100110110110001111000011011000110111001001011011001110001001101101100100110011000110011000110001001000100011001101100100011100111100110111001110100111001,1100111100110011100100110111100000110011010011000110000011001110110011001011001100101101001100010110101100110110110001111000011011000110111001001011011001110001001101101100100110011000110011000110001001000100011001101101100011000111100110111001100100111001,True,True,True,True,4,0.035674095153808594,0.017292022705078125,0.018006563186645508,0.00035881996154785156
86.jpg,1011000101110010110011001110000000011111111100110101111111110010011001101111011111011011001100111001010001010010100110100011001111000000001100111100000101100100011000001001000111110011011000001111111011000000000110101111001000010100111110101000100010111000,1011000101110010110011001110000000011111111100110101111111110010011001101111011111011011001100111001010001010010100110100011001111000000001100111100000101100110011000001001000011110011011000001111111011000000000110101111001000010100111110101000100010111000,True,True,True,True,2,0.035935163497924805,0.01729893684387207,0.01824045181274414,0.0003790855407714844
157.jpg,1000010001000101111001010101001011100010001010011001000010000101111100100100101001111000101010010011111000100010001111110100011001111111110000011000111011110000000010111011110100111011110010110110000111110110001000101111111000110100111011110000011000100111,1000010001000101111001010101001011100010001010011001000010000101111100100100101001111000101010010011111000100010001111110100011001111111110000011000111011110000000010111011110100111011110010110110000111110110001000101111111000110100111011110000011000100111,True,True,True,True,0,0.03689265251159668,0.018774032592773438,0.017750024795532227,0.0003521442413330078
20.jpg,1000010111110001101101110101110000011010111011100111000111100010001010100001110101000111100100010110110100101110100010100000101000110010111000011000110100101011001100111110001111111101111000011001101100001010001110001001010000111100001111011011001000011011,1000010111110001101101110101110000011010111011100111000111100010001010100001110101000111100100010110110100101110100010100000101000110010111000011000110100101011001100111110001111111101111000011001101100001010001110001001010000111100001111011011001000011011,True,True,True,True,0,0.03821277618408203,0.019002914428710938,0.01885056495666504,0.00034356117248535156
130.jpg,1001001100010011001110000011101100010010101101110110110101101010010001101100000011101100011011101100011111000100111011010110101000010011100101011011100000111011011011000100111001000110110001010100011111000000000100111011000110111000011111111011100000011110,1001001100010011001110000011101100010010101101110110110101101010010001101100000011101100011011101100011111000100111011010110101000010011100101011011100000111011011011000100111001000110110001010100011111000000000100111011000110111000011111111011100000011110,True,True,True,True,0,0.034548282623291016,0.015916109085083008,0.018245458602905273,0.00036907196044921875
16.jpg,1110101101011010111000101010011111010000101000011001110101011100100010010111110110111011100000001011000001010101100000100011010111110111101010111001010101111010000101100101010011101000000001001111000111101011000001111100100011001010100010101011110100101010,1110101101011010111000101010011111010000101000011001110101011100100010010111110010111011100000001011000001010101100000100011010111110111101010111001010101111010000101100101010011101000000001001111000111101011000001111100100011001010100010101011110110101010,True,True,True,True,2,0.039086103439331055,0.020738601684570312,0.017911911010742188,0.0004191398620605469
26.jpg,1010010001100001000011010001000000110100011100010111000110010110110000110110110100010101001100100100111001100000111100011001101011101001110111100011110001101010100001011000101011111111101010001101000111001010001000111011111001011111000010111010111011110110,1010010001100001000011010001000000110100011100010111000110010110110000110110110100010101001100100100111001100000111100011001101011101001110111100011110001101010100001011000101011111111101010001101000111001010001000111011111001011111000010111010111011110110,True,True,True,True,0,0.03733491897583008,0.019438505172729492,0.017534255981445312,0.0003464221954345703
22.jpg,1110010111000111101101100001110000110000010110001000111101100011100111110011000111111000110011001101110001100110110011011100011011101000100011101111001100011100111100011001100011000001101110111110011000111001110000001001100010000000001111010000011000111001,1110010111000111101101100001110000110000010110001000111101100011100111110011000111111000110011001101110001100110110011011100011011101000100011101111001100011100111100011001100011000001101110111110011000111001110000001001100010000000001111010000011000111001,True,True,True,True,0,0.03400874137878418,0.016101837158203125,0.017548799514770508,0.00034236907958984375
37.jpg,1111100110111101100000011011001001111000011000100000011111011101100101001110010001000011100100100000001010001101011111011111100011001111000001111011100001110001010111011010001000001111001001100110011011001111100011111010110001100011000111001001100100000111,1111100110111101100000011011001001111000011000100000011111011101100101001110010001000011100100100000001000001101011111011111100011001111000001111011100001110001010111011010001000001111101001100110011011001111100011111010110001100011000111001001100100000111,True,True,True,True,2,0.03795957565307617,0.01933145523071289,0.018259286880493164,0.0003528594970703125
