Transformation,Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AverageFilter,3.0,3,1,2,0,2,0,0,0,0,0,2,0,1,2,1,2,3,0,1,0,0,0,1,0,1,0,1,1,1,2,2,0,1,3,1,2,1,3,1,2,2,2,2,1,1,0,1,0,4,1,1,1,0,2,0,2,1,2,0,2,2,0,2,1,1,0,0,0,0,1,2,1,2,1,2,0,0,1,0,0,1,0,1,0,0,0,2,1,1,0,1,0,0,2,0,2,1,3,3,1
AverageFilter,5.0,3,2,3,2,1,1,0,1,0,1,3,0,1,2,1,1,2,1,0,0,0,1,2,0,2,2,2,1,3,2,1,2,2,3,2,2,0,3,1,1,3,2,3,0,1,0,1,1,5,1,2,1,0,1,1,1,2,1,1,2,2,2,2,2,2,2,1,3,0,1,3,0,4,1,2,0,1,2,0,1,2,1,2,0,0,2,2,1,0,1,0,2,1,2,1,2,4,3,5,0
AverageFilter,7.0,3,5,3,5,5,5,4,3,3,5,7,3,3,5,3,4,5,5,3,4,1,4,4,3,4,5,4,8,6,4,7,5,4,5,4,5,4,8,3,6,9,4,7,4,2,5,8,7,9,1,3,4,8,5,1,3,3,6,2,6,5,5,2,5,4,4,3,4,7,6,7,3,6,3,7,2,6,4,6,5,5,8,4,2,2,4,5,4,7,1,5,4,6,4,2,4,4,7,6,2
Brightness,0.5,3,2,0,1,3,3,4,2,3,2,12,3,2,3,0,3,2,2,0,4,1,6,7,2,4,6,3,5,4,7,4,5,1,5,0,6,3,2,3,3,3,4,3,4,4,1,3,5,8,3,4,7,3,5,4,3,2,6,5,5,3,6,4,4,2,3,2,4,2,3,6,2,8,4,4,5,4,3,1,5,3,3,1,1,2,2,2,2,3,3,2,3,5,5,7,7,4,7,3,7
Brightness,1.5,38,42,44,45,42,48,45,43,41,32,45,46,37,37,35,52,43,31,34,37,49,43,48,27,37,42,34,34,51,39,46,46,47,39,43,47,42,45,43,37,57,40,53,31,40,35,45,40,56,38,44,35,36,46,41,38,46,56,34,40,33,44,47,37,38,38,36,43,48,44,46,47,35,42,45,46,48,46,44,40,31,38,32,38,34,33,40,40,48,35,51,54,40,42,58,34,46,38,46,42
Brightness,2.0,75,79,69,75,78,75,79,82,81,77,78,77,68,83,64,80,66,71,72,72,82,69,74,61,63,90,68,77,79,71,78,73,57,70,75,79,80,94,71,75,78,91,91,58,66,68,71,71,79,68,77,62,78,71,85,66,85,92,76,64,64,69,79,73,68,73,59,72,75,78,82,92,68,81,84,83,70,76,86,72,68,72,67,67,68,70,82,77,83,78,98,81,82,81,73,72,74,70,74,73
Contrast,0.5,6,5,5,2,5,4,4,3,4,4,13,6,4,3,5,2,6,5,5,2,3,7,8,3,5,6,4,10,3,9,6,7,3,5,1,6,6,6,3,3,6,7,7,2,10,1,4,4,10,4,3,10,4,6,4,4,5,5,5,7,6,4,8,6,4,6,3,4,3,7,6,4,8,7,5,5,3,4,1,6,4,7,1,4,2,2,3,2,5,4,4,4,5,5,5,7,7,7,5,8
Contrast,1.5,29,29,27,26,22,21,26,25,19,32,29,20,29,32,33,20,23,21,20,30,27,32,36,30,33,22,33,27,27,29,29,32,27,30,33,32,31,33,31,27,32,31,33,30,28,30,28,22,25,29,35,21,20,27,30,27,28,30,26,25,28,24,30,29,21,29,14,27,33,26,37,36,20,31,22,32,25,30,30,23,17,28,22,28,26,25,27,35,23,32,30,20,24,27,32,20,27,29,36,23
Contrast,2.0,64,68,61,69,62,68,82,77,59,76,76,71,74,84,72,64,74,81,70,66,71,73,96,62,86,65,61,66,74,68,71,75,61,72,70,63,76,84,76,74,69,77,66,64,68,75,73,71,75,67,71,54,62,81,59,77,66,88,56,74,70,66,81,70,67,60,49,74,74,62,68,62,63,73,71,67,84,75,77,67,70,71,73,81,66,83,75,67,69,70,71,62,81,75,70,72,67,70,75,65
GaussianBlur,3.0,3,1,3,0,1,1,0,1,0,0,3,0,1,2,0,1,2,2,0,0,0,2,1,0,2,1,2,1,1,1,1,2,2,3,3,2,0,2,1,2,2,2,2,0,1,0,1,0,4,1,1,1,0,2,0,1,2,1,0,2,2,1,2,2,1,1,0,2,0,0,3,1,4,1,2,0,0,2,0,1,1,0,1,0,0,0,2,1,1,0,0,1,0,1,0,1,2,2,3,0
GaussianBlur,5.0,3,3,3,2,4,5,3,2,2,3,6,4,2,7,1,4,5,4,2,2,1,4,5,4,3,3,5,6,4,7,5,5,5,4,3,2,2,2,2,5,7,2,6,5,0,2,6,3,8,2,3,5,8,2,2,3,5,5,3,5,4,6,4,5,5,3,4,3,5,4,8,3,9,5,6,3,6,5,3,2,2,4,4,3,4,4,4,4,3,2,4,2,5,5,3,6,5,6,6,4
GaussianBlur,7.0,8,10,13,12,17,13,10,10,11,13,18,11,9,18,8,14,18,13,12,13,8,15,16,15,10,15,15,9,11,12,19,15,15,14,13,12,12,9,10,17,14,11,12,18,10,15,14,19,16,18,10,13,15,12,11,15,12,19,16,14,17,13,8,13,12,16,17,21,14,16,22,11,14,12,13,10,19,14,8,10,14,15,11,12,11,16,12,8,11,13,18,18,17,17,13,15,12,16,13,16
GaussianNoise,0.02,3,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,1,1,0,0,1,0,0,0,2,1,1,1,3,0,1,2,0,1,0,1,1,0,3,1,2,0,1,0,0,1,3,2,2,1,0,1,1,3,1,1,1,1,2,0,1,2,1,0,0,0,0,1,2,0,2,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,3,1,2
GaussianNoise,0.04,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,3,1,2,1,0,0,1,0,0,0,1,1,1,2,3,0,1,2,0,2,0,2,1,0,4,1,1,0,0,0,0,1,3,2,2,1,0,1,1,2,1,0,1,1,2,1,2,1,1,0,0,0,0,0,3,0,3,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,3,1,2
GaussianNoise,0.08,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,1,1,0,0,0,0,0,0,1,1,1,2,2,0,1,2,0,1,0,1,1,1,4,1,2,0,0,0,0,1,3,2,2,1,0,1,1,2,1,0,1,1,2,1,2,2,1,0,0,0,0,0,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,2
