Transformation,Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AverageFilter,3.0,2,1,7,4,4,4,3,6,3,2,2,1,3,4,3,3,1,2,1,0,0,2,6,2,3,2,8,2,2,2,5,5,4,6,3,2,1,0,5,1,4,4,4,2,5,2,1,1,1,3,5,3,2,6,3,1,3,3,1,3,1,1,1,3,2,4,6,1,3,2,5,2,2,3,4,2,8,1,4,2,3,2,4,3,3,3,2,5,0,5,1,1,4,1,5,3,2,4,1,0
AverageFilter,5.0,2,3,8,4,4,3,2,8,2,2,5,2,4,4,3,4,1,2,0,0,1,3,5,3,4,3,9,2,3,3,5,4,4,6,5,2,2,1,5,2,4,3,6,2,4,1,1,2,1,4,4,4,3,5,4,3,3,3,1,2,4,1,1,3,2,4,6,2,4,3,5,3,2,3,4,3,8,1,5,1,3,1,6,4,2,4,1,4,0,4,0,2,3,3,5,4,4,3,0,0
AverageFilter,7.0,2,4,9,5,3,3,2,7,1,4,5,1,4,4,4,4,1,3,2,1,1,3,6,4,4,2,9,4,3,3,4,3,6,6,4,4,4,2,5,1,4,3,10,2,3,2,2,3,1,6,5,3,3,7,4,3,3,4,1,1,5,1,0,3,2,5,5,3,6,4,5,2,1,3,4,3,9,1,4,1,2,0,8,5,3,4,2,5,2,3,2,2,5,2,6,4,4,2,0,2
Brightness,0.5,6,9,13,10,13,11,4,14,8,11,18,7,6,8,14,10,5,12,12,5,13,9,15,11,11,12,15,11,7,12,13,6,6,14,7,12,9,8,10,5,8,11,13,6,7,7,7,11,10,12,10,10,8,13,12,6,6,14,10,7,7,5,11,8,7,9,9,10,12,2,11,7,9,13,8,12,12,10,8,11,10,10,14,8,11,11,9,10,14,15,8,10,9,2,10,6,13,9,5,6
Brightness,1.5,39,29,47,40,38,35,55,46,38,27,49,47,35,43,39,37,41,35,48,33,32,30,38,40,41,39,42,30,39,48,44,47,41,40,49,47,40,42,45,36,37,40,49,32,43,40,41,45,39,40,45,29,43,46,43,55,34,37,41,43,38,34,35,52,45,41,43,41,46,37,51,37,39,44,52,31,33,37,46,49,40,40,38,32,43,42,37,49,44,43,39,42,44,39,53,38,48,37,48,38
Brightness,2.0,76,75,89,79,85,79,78,91,78,65,78,94,83,90,79,71,79,83,90,69,88,85,89,72,81,85,76,76,75,92,80,83,84,92,80,89,78,81,85,90,77,81,102,80,93,77,82,86,78,83,85,74,96,68,92,94,90,89,81,81,89,73,86,76,84,72,79,80,93,77,103,79,91,78,88,83,82,75,96,92,87,79,89,66,73,78,73,82,89,88,83,95,99,89,96,73,85,78,80,87
Contrast,0.5,5,13,16,16,12,15,8,21,12,10,18,10,11,9,12,12,8,9,17,11,23,15,17,12,17,16,16,14,14,16,11,10,7,15,12,15,11,9,19,6,10,16,17,13,14,10,11,20,17,15,14,12,9,15,12,10,13,22,12,13,19,12,11,14,15,9,16,12,16,6,14,9,8,17,10,17,16,11,13,14,13,8,19,13,19,15,10,15,17,16,10,11,11,7,11,13,16,12,6,7
Contrast,1.5,47,60,49,50,56,46,47,52,40,44,54,39,45,48,44,59,39,54,47,48,60,40,50,52,54,54,63,47,39,50,54,45,37,54,53,41,57,40,56,37,52,52,59,47,49,42,49,58,46,36,40,44,46,43,45,49,49,64,35,52,54,52,38,46,49,59,39,44,46,51,63,42,46,42,60,45,50,60,54,47,44,42,40,43,51,46,51,48,44,46,51,54,40,62,61,43,50,46,52,42
Contrast,2.0,111,113,101,106,105,93,104,109,91,112,102,96,121,107,86,118,118,115,103,102,113,98,116,102,94,109,113,85,89,103,110,94,85,101,112,105,102,109,106,102,105,112,110,108,96,93,115,110,99,96,107,96,110,102,87,97,109,119,102,103,104,85,105,99,121,109,87,105,106,111,116,100,102,101,115,89,84,100,114,104,114,111,97,102,118,119,110,107,109,105,103,120,88,110,107,104,94,106,100,95
GaussianBlur,3.0,2,1,8,5,4,3,2,7,2,2,6,1,4,4,3,4,1,2,0,0,0,2,6,2,5,1,6,3,2,3,4,3,3,6,3,3,2,1,5,1,2,5,3,2,5,1,1,2,1,3,4,3,2,6,3,3,3,4,1,2,3,1,1,3,1,4,7,2,4,3,4,4,1,3,4,3,8,1,4,1,3,1,6,4,1,4,1,5,0,4,1,3,5,1,6,4,3,3,0,0
