Transformation,Parameter,Bit Accuracy,burst_index,0-to-1,1-to-0
AverageFilter,1.0,0.99837875,0.9938741723443819,650,647
AverageFilter,3.0,0.99813125,0.9911565371044233,802,693
AverageFilter,5.0,0.9932875,0.984017347101409,2847,2523
Brightness,0.5,0.99406,0.9849522937849426,2597,2155
Brightness,1.5,0.9449237500000001,0.8838971532894683,21825,22236
Brightness,2.0,0.890645,0.8219484673096855,42792,44692
Contrast,0.5,0.9925225000000001,0.9824100525358208,3212,2770
Contrast,1.5,0.9585049999999999,0.9182492059167612,16576,16620
Contrast,2.0,0.904675,0.8573237875074629,37908,38352
GaussianBlur,1.0,0.9984437500000001,0.9923576052976467,633,612
GaussianBlur,3.0,0.9964962500000001,0.989061297367396,1504,1299
GaussianBlur,5.0,0.9542787500000001,0.9326628645481534,17662,18915
GaussianNoise,0.02,0.9984275,0.9923101244921421,644,614
GaussianNoise,0.04,0.998405,0.9926422966438446,649,627
GaussianNoise,0.08,0.9984350000000001,0.9935284489930862,649,603
JPEG,50.0,0.97971375,0.9712282027131106,8281,7948
JPEG,70.0,0.99149,0.985672673224443,3467,3341
JPEG,90.0,0.997355,0.9928389313583437,1133,983
MedianBlur,1.0,0.9984550000000001,0.9931419786754295,628,608
MedianBlur,3.0,0.99804625,0.9919725543537011,810,753
MedianBlur,5.0,0.99742375,0.9914052519603194,1078,983
Resize,0.5,0.99854625,0.9953834052206834,617,546
Resize,0.75,0.9984149999999999,0.9931056660133278,643,625
Resize,1.5,0.998475,0.9934496285099984,634,586
Saturation,0.5,0.9973675000000001,0.9929268280738869,1130,976
Saturation,1.5,0.99662,0.9825761067000885,1366,1338
Saturation,2.0,0.9912825000000001,0.9759987802381209,3524,3450
Sharpness,0.5,0.9983825000000001,0.99402613980762,659,635
Sharpness,1.5,0.9983275,0.9938110318680647,689,649
Sharpness,2.0,0.9981850000000001,0.9941627709241144,755,697
WebP,50.0,0.96757375,0.960500941278356,12783,13158
WebP,70.0,0.98122,0.9753831310408698,7537,7487
WebP,90.0,0.99604125,0.9907306679496679,1630,1537
