Row,Burstiness Ratio,Average Gap,Run Lengths
58,0.0,0.0,[1]
59,0.0,21.25,"[1, 1, 1, 1, 1]"
60,0.42105263157894735,4.526315789473684,"[1, 3, 1, 1, 1, 3, 2, 2, 5, 1, 1, 2]"
61,0.0,0.0,[1]
62,0.0,16.6,"[1, 1, 1, 1, 1, 1]"
63,0.15384615384615385,6.769230769230769,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]"
76,0.0,9.0,"[1, 1]"
77,0.0,0.0,[1]
78,0.0,0.0,[1]
79,0.0,0.0,[1]
80,0.0,0.0,[1]
81,0.0,0.0,[1]
82,0.0,0.0,[1]
83,0.0,0.0,[1]
84,0.0,0.0,[1]
85,0.0,0.0,[1]
86,0.0,0.0,[1]
87,0.0,0.0,[1]
88,0.0,0.0,[1]
89,0.0,0.0,[1]
90,0.0,0.0,[1]
91,0.0,0.0,[1]
92,0.0,0.0,[1]
93,0.0,41.0,"[1, 1]"
94,0.0,0.0,[1]
95,0.0,0.0,[1]
97,0.0,0.0,[1]
98,0.2222222222222222,9.444444444444445,"[4, 1, 1, 1, 1, 1, 1, 1]"
100,0.0,0.0,[1]
101,0.0,41.0,"[1, 1, 1]"
102,0.0,0.0,[1]
103,0.0,0.0,[1]
104,0.0,0.0,[1]
105,0.0,0.0,[1]
106,0.0,0.0,[1]
108,0.0,0.0,[1]
109,0.0,0.0,[1]
110,0.0,0.0,[1]
111,0.0,0.0,[1]
112,0.0,0.0,[1]
113,0.0,0.0,[1]
135,0.16666666666666666,16.0,"[2, 1, 1, 1, 1, 1]"
136,0.4,4.35,"[1, 1, 2, 2, 1, 2, 1, 3, 5, 1, 1, 1, 2]"
173,0.0,7.375,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
174,0.16666666666666666,7.333333333333333,"[3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
176,0.1875,6.0,"[1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1]"
177,0.3333333333333333,4.666666666666667,"[3, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 5, 1, 3, 3]"
190,0.375,9.0,"[1, 1, 1, 1, 6, 1]"
191,0.0,5.0,"[1, 1]"
193,0.7962962962962963,1.7962962962962963,"[9, 1, 1, 4, 5, 4, 10, 1, 5, 7, 13, 4]"
194,0.07692307692307693,7.461538461538462,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
201,0.4166666666666667,6.916666666666667,"[1, 1, 1, 1, 3, 1, 3, 3]"
202,0.0,14.2,"[1, 1, 1, 1, 1, 1]"
211,0.13333333333333333,6.266666666666667,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
212,0.5384615384615384,2.4871794871794872,"[3, 6, 1, 4, 1, 2, 9, 1, 1, 2, 1, 1, 3, 4, 1, 4, 1, 1, 3]"
214,0.0,42.0,"[1, 1]"
215,0.4444444444444444,8.555555555555555,"[3, 1, 1, 1, 5, 2]"
220,0.3333333333333333,5.055555555555555,"[1, 1, 1, 1, 3, 1, 1, 2, 1, 4, 1, 5, 1]"
221,0.4375,3.03125,"[5, 1, 3, 8, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 2]"
226,0.0,30.0,"[1, 1]"
227,0.125,6.0,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1]"
250,0.2,17.4,"[1, 1, 1, 2, 1]"
253,0.0,0.0,[1]
266,0.0,0.0,[1]
