Transformation,Parameter,Average Distance
AverageFilter,3.0,21.2
AverageFilter,5.0,21.1
AverageFilter,7.0,20.3
Brightness,0.5,17.7
Brightness,1.5,8.5
Brightness,2.0,6.6
Contrast,0.5,15.8
Contrast,1.5,8.4
Contrast,2.0,6.0
GaussianBlur,3.0,20.2
GaussianBlur,5.0,21.0
GaussianBlur,7.0,18.8
GaussianNoise,0.02,21.3
GaussianNoise,0.04,21.4
GaussianNoise,0.08,21.5
JPEG,50.0,20.1
JPEG,70.0,18.3
JPEG,90.0,21.4
JPEG2000,50.0,22.2
JPEG2000,70.0,22.2
JPEG2000,90.0,22.2
MedianBlur,3.0,21.4
MedianBlur,5.0,20.3
MedianBlur,7.0,18.7
Resize,0.25,5.9
Resize,0.5,22.5
Resize,0.75,21.5
Resize,1.5,21.3
Resize,2.0,20.9
Saturation,0.5,18.8
Saturation,1.5,14.4
Saturation,2.0,11.8
Sharpness,0.5,21.6
Sharpness,1.5,20.6
Sharpness,2.0,19.9
WebP,50.0,21.1
WebP,70.0,21.2
WebP,90.0,20.1
