Transformation,Parameter,Average Bit Accuracy
AverageFilter,3.0,99.69
AverageFilter,5.0,99.65
AverageFilter,7.0,99.61
Brightness,0.5,98.93
Brightness,1.5,95.45
Brightness,2.0,90.77
Contrast,0.5,98.55
Contrast,1.5,94.61
Contrast,2.0,88.43
GaussianBlur,3.0,99.67
GaussianBlur,5.0,99.59
GaussianBlur,7.0,99.4
GaussianNoise,0.02,99.72
GaussianNoise,0.04,99.73
GaussianNoise,0.08,99.71
JPEG,50.0,99.42
JPEG,70.0,99.54
JPEG,90.0,99.63
JPEG2000,50.0,99.72
JPEG2000,70.0,99.72
JPEG2000,90.0,99.72
MedianBlur,3.0,99.72
MedianBlur,5.0,99.65
MedianBlur,7.0,99.57
Resize,0.25,99.13
Resize,0.5,99.72
Resize,0.75,99.71
Resize,1.5,99.71
Resize,2.0,99.71
Saturation,0.5,99.51
Saturation,1.5,99.21
Saturation,2.0,98.29
Sharpness,0.5,99.73
Sharpness,1.5,99.68
Sharpness,2.0,99.64
WebP,50.0,99.53
WebP,70.0,99.58
WebP,90.0,99.65
