Transformation,Parameter,Average Bit Accuracy
AverageFilter,3.0,99.99
AverageFilter,5.0,99.99
AverageFilter,7.0,99.98
Brightness,0.5,99.92
Brightness,1.5,97.71
Brightness,2.0,91.56
Contrast,0.5,99.89
Contrast,1.5,99.35
Contrast,2.0,97.0
GaussianBlur,3.0,99.99
GaussianBlur,5.0,99.98
GaussianBlur,7.0,99.93
GaussianNoise,0.02,99.99
GaussianNoise,0.04,99.99
GaussianNoise,0.08,99.99
JPEG,50.0,99.76
JPEG,70.0,99.85
JPEG,90.0,99.92
JPEG2000,50.0,99.99
JPEG2000,70.0,99.99
JPEG2000,90.0,99.99
MedianBlur,3.0,99.99
MedianBlur,5.0,99.98
MedianBlur,7.0,99.98
Resize,0.25,99.99
Resize,0.5,99.99
Resize,0.75,99.99
Resize,1.5,99.99
Resize,2.0,99.99
Saturation,0.5,99.98
Saturation,1.5,99.97
Saturation,2.0,99.84
Sharpness,0.5,99.99
Sharpness,1.5,99.99
Sharpness,2.0,99.99
WebP,50.0,99.77
WebP,70.0,99.85
WebP,90.0,99.91
