Image,Transformation,Parameter,Bit Accuracy,PSNR,SSIM,LPIPS,Error Indexes
0001.png,Brightness,0.5,0.98,42.90811128312608,0.9983840945316768,0.0007683403673581,"63, 67"
0001.png,Brightness,1.5,1.0,42.90811128312608,0.9983840945316768,0.0007683403673581,
0001.png,Brightness,2.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Contrast,0.5,0.96,42.90811128312608,0.9983840945316768,0.0007683403673581,"19, 60, 63, 67"
0001.png,Contrast,1.5,0.98,42.90811128312608,0.9983840945316768,0.0007683403673581,"62, 67"
0001.png,Contrast,2.0,0.97,42.90811128312608,0.9983840945316768,0.0007683403673581,"43, 50, 67"
0001.png,GaussianNoise,10.0,0.98,42.90811128312608,0.9983840945316768,0.0007683403673581,"30, 67"
0001.png,GaussianNoise,20.0,0.98,42.90811128312608,0.9983840945316768,0.0007683403673581,"63, 67"
0001.png,GaussianNoise,30.0,0.95,42.90811128312608,0.9983840945316768,0.0007683403673581,"2, 37, 50, 60, 67"
0001.png,JPEG,50.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,JPEG,70.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,JPEG,90.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,JPEG2000,50.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,JPEG2000,70.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,JPEG2000,90.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Resize,0.25,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Resize,0.5,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Resize,0.75,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Resize,1.5,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Resize,2.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Saturation,0.5,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Saturation,1.5,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Saturation,2.0,0.98,42.90811128312608,0.9983840945316768,0.0007683403673581,"2, 67"
0001.png,Sharpness,0.5,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Sharpness,1.5,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,Sharpness,2.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,WebP,50.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,WebP,70.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0001.png,WebP,90.0,0.99,42.90811128312608,0.9983840945316768,0.0007683403673581,67
0002.png,Brightness,0.5,1.0,41.88220894488036,0.9985918982332742,0.0008255894645117,
0002.png,Brightness,1.5,1.0,41.88220894488036,0.9985918982332742,0.0008255894645117,
0002.png,Brightness,2.0,1.0,41.88220894488036,0.9985918982332742,0.0008255894645117,
0002.png,Contrast,0.5,1.0,41.88220894488036,0.9985918982332742,0.0008255894645117,
0002.png,Contrast,1.5,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Contrast,2.0,0.91,41.88220894488036,0.9985918982332742,0.0008255894645117,"17, 30, 33, 34, 53, 56, 64, 79, 97"
0002.png,GaussianNoise,10.0,1.0,41.88220894488036,0.9985918982332742,0.0008255894645117,
0002.png,GaussianNoise,20.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,GaussianNoise,30.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,JPEG,50.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,JPEG,70.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,JPEG,90.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,JPEG2000,50.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,JPEG2000,70.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,JPEG2000,90.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Resize,0.25,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Resize,0.5,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Resize,0.75,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Resize,1.5,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Resize,2.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Saturation,0.5,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Saturation,1.5,1.0,41.88220894488036,0.9985918982332742,0.0008255894645117,
0002.png,Saturation,2.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Sharpness,0.5,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Sharpness,1.5,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,Sharpness,2.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,WebP,50.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,WebP,70.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0002.png,WebP,90.0,0.99,41.88220894488036,0.9985918982332742,0.0008255894645117,64
0003.png,Brightness,0.5,0.98,39.76525837932101,0.9989880729167534,0.0009514433913864,"43, 77"
0003.png,Brightness,1.5,0.75,39.76525837932101,0.9989880729167534,0.0009514433913864,"1, 7, 8, 9, 15, 16, 17, 21, 24, 32, 34, 36, 40, 42, 48, 49, 56, 58, 59, 67, 68, 70, 77, 78, 80"
0003.png,Brightness,2.0,0.77,39.76525837932101,0.9989880729167534,0.0009514433913864,"1, 7, 21, 24, 27, 28, 32, 37, 42, 48, 49, 56, 58, 67, 68, 77, 78, 80, 87, 91, 95, 96, 99"
0003.png,Contrast,0.5,0.97,39.76525837932101,0.9989880729167534,0.0009514433913864,"2, 43, 77"
0003.png,Contrast,1.5,0.97,39.76525837932101,0.9989880729167534,0.0009514433913864,"39, 42, 69"
0003.png,Contrast,2.0,0.92,39.76525837932101,0.9989880729167534,0.0009514433913864,"1, 11, 39, 42, 48, 67, 68, 77"
0003.png,GaussianNoise,10.0,1.0,39.76525837932101,0.9989880729167534,0.0009514433913864,
0003.png,GaussianNoise,20.0,1.0,39.76525837932101,0.9989880729167534,0.0009514433913864,
