image_name,watermarked_image_name,hash_function_name,watermarking_method_name,hash_value,watermarked_image_hash,min_distance,hash_match,PSNR,SSIM,Wasserstein_distance
0801.jpeg,wm_0801.jpeg,pHash,TrustMark,1110111010010011000100111100110010110110110000101111100100010000,1110111010010011000100111100110010110110110000101111100100010000,0,True,41.339624173051845,0.9978105227166276,0.6372169442998437
0802.jpeg,wm_0802.jpeg,pHash,TrustMark,1001000110100011010010011001011100101101101010100010110111010110,1001000110100011010010011001011100101101101010100010110111010110,0,True,40.795263371420674,0.9867146759009321,0.2753355939229173
0803.jpeg,wm_0803.jpeg,pHash,TrustMark,1000001001000001111111001010011110110101110111010001001000101011,1000001001000001111111001010011110110101110111010001001000101011,0,True,40.910547051775474,0.9967368123213286,0.8523035386029415
0804.jpeg,wm_0804.jpeg,pHash,TrustMark,1011011111000100111100001011100110110101110010001110001000000110,1011011111000100111100001011100110110101110010001110001000000110,0,True,40.272454205308534,0.9960325711252938,0.5996817810457525
0805.jpeg,wm_0805.jpeg,pHash,TrustMark,1000011100001011000111101101010011001000000111111110100010011110,1000011100001011010111101101010011001000000110111110100010011110,2,False,42.02938043413041,0.995620469140778,0.7541340082039766
0806.jpeg,wm_0806.jpeg,pHash,TrustMark,1001100011111100100001010100010110100100110110100100111101100101,1001100011111100100001010100010110100100110110100100111101100101,0,True,42.28552848718475,0.9934421536909271,0.45296202305897826
0807.jpeg,wm_0807.jpeg,pHash,TrustMark,1101110000100000011010011001010010011011111011011011011101001000,1101110000100000011010011001010010011011111011011011011101001000,0,True,41.066891862860196,0.994788290987902,0.37153661405460664
0808.jpeg,wm_0808.jpeg,pHash,TrustMark,1100000111011101011010110101011000010100011001110011110011000001,1100000111011101011010110101011000010100011001110011110011000001,0,True,41.25922393862436,0.9964393232713457,0.5603019501802686
0809.jpeg,wm_0809.jpeg,pHash,TrustMark,1101110011001111011100100011100110000100011101100001110110000100,1101110011001111011100100011100110000100011101100001110110000100,0,True,41.25110657451911,0.9978704510829535,0.6084940810149041
0810.jpeg,wm_0810.jpeg,pHash,TrustMark,1010111011001011100100100110010001011000000100110100110111011101,1010111011001011100100100110010001011000000100110100110111011110,2,False,42.932415528053546,0.9984921691920005,0.6313197848583877
0811.jpeg,wm_0811.jpeg,pHash,TrustMark,1000011110011001100011111100001001100011011011100010000101100111,1000011110011001100011111100001001100011011011100010000101100111,0,True,41.681331391284644,0.9968051156440975,0.40240808221026825
0812.jpeg,wm_0812.jpeg,pHash,TrustMark,1011011100100111000010001111011001001001011100101100010100010111,1011011100100111000010001111011001001001011100101100010100010111,0,True,43.00088479363515,0.9976413927191593,0.580275565087146
0813.jpeg,wm_0813.jpeg,pHash,TrustMark,1101011111110010110000000000110001000111110110010011010101100110,1101011111110010110000000000110001000111110110010011010101100110,0,True,42.15624930735408,0.9915863396442502,0.5427054314439805
0814.jpeg,wm_0814.jpeg,pHash,TrustMark,1001100101110110001000111000110101110101100110100110010100001011,1001100101110110001000111000110101110101100110100110010100001011,0,True,44.16197754303701,0.9986742469331698,0.5823907783369008
0815.jpeg,wm_0815.jpeg,pHash,TrustMark,1101111001010110001100110010100111000011110011010010100100110010,1101111001010110001100110110100101000011110011010010100100110010,2,False,40.34611078989221,0.9954719763152595,0.600724931073708
0816.jpeg,wm_0816.jpeg,pHash,TrustMark,1000001010000110100101110000011100100101000111111110111111001010,1000001010000110100101110000011100100101000111111110111111001010,0,True,42.27610836835104,0.9979569835825455,0.6840506728748538
0817.jpeg,wm_0817.jpeg,pHash,TrustMark,1110110001101110110100011001100110101010010101000001010110010101,1110110001101110110100011001100110101010010101000001010110010101,0,True,40.37969568776637,0.9964152665418751,0.5745717167075153
0818.jpeg,wm_0818.jpeg,pHash,TrustMark,1101000111111001101000000011101010001010110011010111001100010011,1101000111111001101000000011101010001010110011010111001100010011,0,True,40.49509465641522,0.9896078928249633,0.7510907075503817
0819.jpeg,wm_0819.jpeg,pHash,TrustMark,1010110110011001100000110101001001011010010001100101111001111001,1010110110011001100000110101001001011010010001100101111001111001,0,True,41.094508482341,0.9971251754426097,0.639994842578132
0820.jpeg,wm_0820.jpeg,pHash,TrustMark,1000011110000011011100000111111110011111100110001110000011001000,1000011110000011011100000111111110011111100110001110000011001000,0,True,39.4099551935802,0.9964108694485511,1.0358939691904294
0821.jpeg,wm_0821.jpeg,pHash,TrustMark,1110011010100001110110001110100101100110000110101110000110100110,1110011010100001110110001110100101100110000110101110000110100110,0,True,39.01895199671198,0.9825890493340554,0.6553520301926079
0822.jpeg,wm_0822.jpeg,pHash,TrustMark,1001000111000101011011100001101010000001111101001100011111001011,1001000111000101011011100001101010000001111101001100011111001011,0,True,40.85271098873547,0.9938341916781467,0.3800866545448594
0823.jpeg,wm_0823.jpeg,pHash,TrustMark,1110011010010000101101111011100001001111011001100011100000010011,1110011010010000101111111011100001001111011000100011100000010011,2,False,42.029222738884314,0.9939425638531106,0.4550054211715837
0824.jpeg,wm_0824.jpeg,pHash,TrustMark,1111000111100110000011000110101100010100011100011011010101100011,1111000111100110000011000110101100010100011100011011010101100011,0,True,41.747821422589254,0.9968623483704341,0.6283046060115292
0825.jpeg,wm_0825.jpeg,pHash,TrustMark,1101100011100011100001111111010010100001110000100010010111011010,1101100011100011100001111111010000100001110010100010010111011010,2,False,39.90495481319322,0.9955492894765848,0.6606997223668225
