Image,Transformation,Parameter,Bit Accuracy,PSNR,SSIM,LPIPS,Error Indexes
0875.png,JPEG,50,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82, 92"
0875.png,JPEG,70,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82"
0875.png,JPEG,90,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82"
0875.png,Resize,0.25,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82"
0875.png,Resize,0.5,0.98,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82"
0875.png,Resize,0.75,0.98,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82"
0875.png,Resize,1.5,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82"
0875.png,Resize,2,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82"
0875.png,GaussianNoise,10,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82"
0875.png,GaussianNoise,20,0.96,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 43, 82, 92"
0875.png,GaussianNoise,30,0.96,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 43, 82, 92"
0875.png,WebP,50,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 43, 82"
0875.png,WebP,70,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82"
0875.png,WebP,90,0.98,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82"
0875.png,JPEG2000,50,0.98,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82"
0875.png,JPEG2000,70,0.98,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82"
0875.png,JPEG2000,90,0.98,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82"
0875.png,Saturation,0.5,0.92,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 19, 31, 50, 68, 74, 78, 82"
0875.png,Saturation,1.5,0.95,38.56869012538662,0.994992655858691,0.0010223845019936562,"32, 43, 79, 82, 92"
0875.png,Saturation,2.0,0.93,38.56869012538662,0.994992655858691,0.0010223845019936562,"2, 31, 32, 43, 60, 69, 92"
0875.png,Brightness,0.5,0.96,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 82, 92"
0875.png,Brightness,1.5,0.97,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 43, 82"
0875.png,Brightness,2.0,0.9,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 27, 39, 42, 43, 62, 71, 76, 79, 94"
0875.png,Contrast,0.5,0.94,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 74, 76, 77, 82, 92"
0875.png,Contrast,1.5,0.89,38.56869012538662,0.994992655858691,0.0010223845019936562,"4, 5, 27, 43, 60, 68, 69, 72, 82, 91, 92"
0875.png,Contrast,2.0,0.77,38.56869012538662,0.994992655858691,0.0010223845019936562,"1, 4, 7, 10, 12, 26, 28, 32, 38, 40, 43, 44, 46, 60, 68, 69, 72, 77, 82, 83, 91, 92, 93"
0875.png,Sharpness,0.5,0.98,38.56869012538662,0.994992655858691,0.0010223845019936562,"5, 82"
